Gene,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40
ABCA2,0.028145,-0.060593,0.16543,-0.042211,0.20453,-0.054622,0.037745,-0.059914,-0.00075971,0.021948,-0.23491,0.013177,0.064232,0.10209,-0.069367,-0.031778,-0.016766,-0.059887,0.012156,-0.015468,-0.046565,0.084122,-0.14389,-0.00096666,0.0020095,-0.027301,-0.098787,-0.084514,0.025513,0.097947,0.031486,-0.02628,0.088806,-0.033371,-0.14605,-0.054041,0.042209,0.018053,-0.078718,0.042199
ABCB9,0.091722,0.1112,0.023944,-0.053559,-0.015533,0.01667,-0.10564,0.013174,-0.13876,0.21553,-0.065102,0.099741,-0.09507,0.12815,0.07069,0.1091,-0.064053,-0.096862,0.12697,0.027065,0.065192,0.0089744,0.068348,-0.096812,0.16221,0.002108,-0.011852,0.26089,0.048915,-0.025391,0.078349,0.021553,0.018007,-0.11998,-0.01088,0.018136,0.0078809,-0.024464,0.091492,-0.20184
ACE,0.0040328,0.045683,-0.013919,-0.16064,-0.11055,0.22671,0.21864,-0.22093,0.033195,0.06386,0.052033,-0.062231,0.014566,0.16823,-0.11145,-0.040866,-0.073282,-0.14307,-0.02111,-0.029682,0.050559,0.1207,0.067685,0.0055607,-0.11229,-0.025888,0.055013,0.0084489,0.17746,-0.070346,-0.028235,0.16914,0.049528,-0.0015843,0.11118,-0.059332,-0.017236,0.083491,-0.0128,0.035511
ACP2,0.026897,0.084026,-0.11337,0.13964,-0.0056864,-0.17386,0.0033851,-0.11508,-0.0051035,0.019021,-0.24188,0.09608,-0.15671,0.24839,0.18949,-0.12708,0.075148,0.090005,0.0063174,0.015409,-0.13339,0.028735,0.28072,0.15156,-0.017828,-0.10125,0.0020868,0.030204,-0.045299,-0.14525,0.18095,-0.11435,0.022189,-0.11386,-0.00033943,0.10837,-0.033131,-0.06093,-0.067464,0.039624
ADA,-0.039083,-0.1177,0.12944,-0.11076,0.15409,0.024065,0.0076929,0.06586,-0.076567,-0.064599,0.059013,-0.098242,0.005303,0.072814,-0.036081,0.023484,0.015132,-0.01187,-0.049414,-0.08213,-0.12811,-0.039606,0.12628,0.033223,0.1764,0.073417,0.049929,0.090368,-0.070231,0.0032019,-0.025046,-0.028131,0.010465,-0.08932,-0.071806,-0.05248,0.079194,-0.0045975,0.030024,0.0041589
AGA,-0.11846,-0.057727,0.049705,0.032828,0.046143,0.081804,0.063481,-0.058702,0.041014,0.046731,-0.080203,-0.038215,0.029441,0.02099,0.054418,-0.0064984,-0.10287,0.014422,0.080576,0.0062349,0.058663,0.025613,0.0052286,0.0057974,0.11576,-0.048697,0.030072,-0.031898,-0.0067538,-0.017906,-0.089133,-0.072051,0.10349,-0.070139,-0.064325,0.057426,-0.072484,0.014308,0.22679,-0.077104
ANKRD27,0.085553,0.052749,0.091392,0.13331,-0.00097754,0.11165,0.070954,-0.12571,0.030499,0.032391,0.11102,0.033633,0.14236,0.016115,0.059782,-0.0048248,-0.0097892,0.26664,0.095553,-0.063257,-0.014269,-0.17984,0.04144,0.063172,0.15425,-0.048526,-0.0040176,-0.22191,0.096067,0.088456,0.071132,-0.016083,0.11327,0.0036824,0.029384,-0.01679,0.076576,-0.13934,-0.10927,0.0027307
AP5M1,-0.0061687,0.18092,0.063417,0.057323,-0.12962,-0.020833,0.021683,0.074206,0.091393,0.08419,-0.077282,0.036954,0.075393,-0.15959,-0.076549,-0.023623,0.048095,0.13073,-0.035826,-0.022772,-0.20605,0.1335,0.013652,-0.0027653,-0.094818,0.019117,0.093452,-0.041053,-0.11586,-0.045174,-0.20005,-0.059103,0.22963,-0.11596,0.09545,-0.084561,-0.069213,-0.030439,-0.010741,0.079577
AP5S1,-0.099777,-0.024586,-0.11044,-0.055253,0.053802,0.084224,0.14362,-0.046127,0.056864,-0.072364,-0.048583,-0.0088577,-0.054528,-0.017526,-0.15665,0.067186,-0.0037456,0.1088,-0.014423,-0.0064268,-0.026311,0.14429,0.00039157,0.21822,0.19092,0.067635,0.0053578,0.01546,-0.12047,-0.14405,-0.072763,0.14178,-0.029985,-0.21334,-0.0096707,-0.080015,0.085956,-0.0071586,-0.10082,-0.15191
ARL8B,0.054359,0.085155,0.0021423,0.204,0.019354,0.10303,0.11839,0.044153,0.013386,0.019417,0.13463,-0.10613,-0.01635,0.14783,0.036659,-0.053157,-0.22814,0.12514,0.072084,0.13266,-0.10802,-0.12446,0.03075,-0.07849,0.10571,-0.15944,0.043142,0.077233,-0.060022,-0.099225,-0.028715,0.082931,0.081811,0.068599,-0.11756,-0.042146,0.16073,0.0033226,0.079759,-0.064586
