ROI, Median Gray Value, Area
1,1.39,1181
2,0.02,801
3,0.67,3357
4,-0.08,1422
5,1.73,586
6,1.02,4116
7,0,5272
8,0.97,4717
9,0.1,1076
10,-0.12,4532
11,0.49,3280
12,-0.14,2908
13,0.55,1697
14,0.62,5352
15,2.16,684
16,0.39,1652
17,-0.66,2277
18,0,1018
19,-0.54,1757
20,-1.15,923
21,0.25,4394
22,0.67,1493
23,0.41,5789
24,0.23,4547
25,1.71,1177
26,0.12,7310
27,0.65,10985
28,0.6,5943
29,0.13,5587
30,0.06,4927
31,-0.23,323
32,1.5,909
33,0.84,567
34,0.02,2850
35,1.58,3282
36,-1.03,1757
37,-0.88,2492
38,-2.07,821
39,0.86,545
40,1.4,2057
41,3.06,947
83,0.8,9036
