ROI, Median Gray Value, Area
17,2.62,345
18,1.11,275
19,3.95,116
20,3.29,162
21,1.55,174
22,1.78,164
23,1.94,744
24,2.21,270
25,0.96,72
26,-0.44,52
27,-0.6,59
28,-1.49,93
29,-0.94,438
30,-2,496
31,-0.95,247
32,0.3,164
33,1.88,600
34,-0.11,1204
35,0,964
36,-0.88,1684
37,-1.36,941
38,-0.24,1119
39,-0.1,911
40,0.62,2089
41,0.17,990
42,0.4,1427
43,1.27,561
44,0.53,1015
45,0.68,1118
46,0.58,1739
47,0.6,2533
48,0.9,3066
49,0.31,946
50,0.62,1585
51,0.11,349
52,-0.19,766
53,1.02,971
54,-0.31,1179
55,0.34,2157
56,-0.14,1311
57,-0.63,991
58,-0.03,697
59,0.64,1851
60,0.3,1776
61,1.28,543
62,1.18,1078
63,0.66,2220
64,1.8,3196
65,1.2,1897
66,1.2,1329
67,0.5,2406
68,0.4,417
69,0.96,343
70,0.13,2592
71,0.7,1229
72,1.33,976
73,0.19,3356
74,0.64,658
75,-0.54,2253
76,1.3,2019
77,-0.01,1825
78,0.31,2661
79,0.74,928
80,0.96,807
81,-0.2,423
82,0.09,1510
