gene,correlation,t
ZNFX1,0.185071424155791,20000
COX17,0.187476095487231,20000
AIP,0.188578582191596,20000
MBTD1,0.191353793958593,20000
MFF,0.193121336782128,20000
AFAP1L2,0.193336313146855,20000
IER2,0.197183693806209,20000
KNG1,0.197788694906979,20000
ANO7,0.198975017298018,20000
MRPL39,0.199654451778334,20000
PPT1,0.199705091436981,20000
RPP25,0.1998410974831,20000
ARMC8,0.200497817260771,20000
METAP2,0.202954421617022,20000
SLC38A9,0.20301750941233,20000
BHLHE41,0.20408886410615,20000
MSL2,0.204313882490838,20000
ALG6,0.204785389381505,20000
MRPS31,0.205689768514316,20000
CTSZ,0.205761284320381,20000
ZFYVE19,0.20641435968163,20000
KDELC1,0.207142020108382,20000
PPIL3,0.207722456562115,20000
PPP1CB,0.208059835420536,20000
PIF1,0.208368851647121,20000
GHDC,0.209235481925422,20000
LGI2,0.209527447091032,20000
PLCB4,0.210992488045263,20000
XBP1,0.211275145106189,20000
GALR1,0.212097931844389,20000
ZNF671,0.212436022353065,20000
USP13,0.212449531731523,20000
POT1,0.212614539970812,20000
SAMD13,0.213223540739798,20000
PAG1,0.213374736653668,20000
JAM2,0.214263985935946,20000
FKBP7,0.214318604199858,20000
THAP1,0.214552932981746,20000
HSPB2,0.214730894635559,20000
ZBTB34,0.216068126813845,20000
VPS54,0.21610642403649,20000
TCF7L2,0.216346021869024,20000
RBMS1,0.216810579968333,20000
ILK,0.217076913786821,20000
SENP1,0.218132499234868,20000
NUP160,0.218559667210634,20000
POLD3,0.21889210801293,20000
ETAA1,0.219467846080813,20000
AAAS,0.219730929834903,20000
LOC440311,0.220402242095477,20000
ZNF79,0.220410307858789,20000
BAZ1B,0.220517365319197,20000
PTPN12,0.222113413946686,20000
ANKRD37,0.222284949537671,20000
SLC15A4,0.222365591535095,20000
MIER1,0.222674245334457,20000
SDSL,0.222794013402613,20000
PEX12,0.223384433916516,20000
ZNF322,0.2237102290784,20000
PIGU,0.22380079949478,20000
NUDT5,0.224176715060431,20000
BUD13,0.22433811817553,20000
ADSSL1,0.225819882818171,20000
C12orf57,0.225929806530688,20000
ZDHHC2,0.226156412973865,20000
PTH1R,0.227040070511698,20000
OSGEPL1,0.227133530727428,20000
MGA,0.227787797740669,20000
SLC2A8,0.228384436467022,20000
CACNA2D2,0.229401013186619,20000
LIPT1,0.229472413194369,20000
KRIT1,0.229844894834554,20000
SORBS3,0.23004696814534,20000
ACYP2,0.230538512938831,20000
RADIL,0.231749299485446,20000
PDCL3,0.231857949872524,278
JMY,0.232527521249109,20000
DDX3Y,0.23315527174032,20000
PURA,0.233161109135069,20000
THAP2,0.233338631569491,20000
REPIN1,0.233439089914409,20000
SNRNP35,0.233656103879564,20000
PCP4L1,0.234515998567026,20000
MRRF,0.234758141892426,20000
N4BP2L2,0.235097638039192,20000
ANKZF1,0.235183069436056,20000
PCNA,0.235408102399524,20000
UPF3A,0.235741818741845,20000
CDH7,0.237134841618543,20000
FANCC,0.238433566581938,277
ROR1,0.239194533461636,20000
C16orf86,0.239575797564357,20000
MYCBPAP,0.239951762832034,20000
SEPHS1,0.240907564100234,20000
LEAP2,0.241058923420091,20000
FSTL1,0.241288868391761,20000
CCDC130,0.243199879773694,20000
KLHDC1,0.243255160911588,20000
USP1,0.244379753327702,20000
SEMA6D,0.244662346056372,20000
GTF2H2B,0.245707880302412,20000
ZNF620,0.246752968839667,20000
ITGB3BP,0.248105749742515,20000
IFRD2,0.248240688812713,20000
NEURL2,0.249066929533034,20000
SSH3,0.249182406966043,20000
SENP7,0.250324732186881,20000
HAT1,0.250791813637748,20000
DVL2,0.251731434606702,20000
PARP3,0.25271399185786,20000
HNRNPR,0.253246473555557,20000
FNBP4,0.253580109386188,267
POU3F2,0.254110986949654,278
RPIA,0.254207784833592,20000
PHF8,0.256771706187869,20000
HMGB2,0.258207544513994,20000
SETDB1,0.258235052867105,20000
POGZ,0.258372831762118,20000
XRN1,0.25845654452898,20000
RPF1,0.259712185907112,20000
GMPS,0.260020626342464,269
HDAC6,0.260293519686533,274
ZNF502,0.260659108700858,20000
AMT,0.260725287308939,20000
RASSF1,0.261001900595439,287
NUP107,0.261236496682106,300
KLHL24,0.261287495819179,276
MRPS22,0.26288816047308,278
LRP2BP,0.263829910544429,20000
EPC1,0.275476542978881,20000
NUBP1,0.276235200827269,315
TRIM52,0.295865511079974,221
FASTKD1,0.295881849222247,221
BAK1,0.295886959993205,216
HIST1H1D,0.295908221143916,211
TGM1,0.295908725207211,224
SLC25A37,0.295928341051319,224
LAG3,0.295938189042337,219
TMEM223,0.295938388231562,210
CCL27,0.295940271701954,217
ZMAT4,0.295941166676762,223
TFB2M,0.295945547228085,214
RAD54B,0.295945995246002,215
TTC39B,0.295946921052995,219
SCRT1,0.295947586804292,218
PLXDC1,0.295947670562715,218
COG2,0.295951460706406,213
TDRD1,0.295953236442783,215
CCDC115,0.295955669062808,223
NT5M,0.295956151635838,215
LEO1,0.295958578388064,215
MZF1,0.295960133764968,219
FAM120C,0.295960680148594,227
ELMO3,0.295961140603473,231
DHX35,0.29596233124812,216
C1RL,0.295962585976008,216
SLCO4A1,0.295963611983988,223
FBXO32,0.295964491881752,221
UPP1,0.295965200643219,216
PARG,0.295965963829531,225
NR1H2,0.295967544306741,222
MED23,0.295967822460654,216
ETV6,0.295970653510816,216
MAP3K6,0.295972184586724,223
SYCP2,0.295972230600888,217
TEX264,0.295972965332545,242
SOCS5,0.295973969230792,216
PHYH,0.295974246161,214
ANKH,0.295974735063015,224
LRRC37A4P,0.295975164248567,215
DCP1A,0.295977011822557,217
HR,0.295977119897757,221
DNAJC4,0.295979884812648,221
BHLHE40,0.295980453573912,223
BMS1,0.295982228278889,221
NSMAF,0.29598386837762,227
MTPAP,0.295984710259467,214
KIAA1614,0.295985239702045,219
LIN9,0.295985755856101,217
DIS3,0.295985979504847,216
SNHG10,0.295986574576199,250
WDR19,0.295989161170586,222
FGD5,0.295989328869783,229
IQUB,0.295990017722175,222
IDE,0.295990083650436,226
ESRRG,0.295990190752478,223
RNLS,0.295990814830203,220
FBXO9,0.295990815464461,217
URM1,0.295990902550962,216
MECP2,0.295991067151166,222
UCP3,0.295992198517186,219
BCL3,0.295992500044105,224
TARDBP,0.295993353846947,217
ZNF192P1,0.295994944461065,215
STARD5,0.295995458416732,218
FKBP9,0.295995530194696,245
FAM160B2,0.295997126061373,224
NR2C1,0.29599776971856,217
PFKFB2,0.295998065256479,230
LINC00515,0.295998565995145,225
GART,0.2959991004681,217
RET,0.29599924589074,231
SPAG4,0.296000376517595,224
LRPAP1,0.296000811382971,221
CCNB1IP1,0.296002238177471,218
TIA1,0.296002634264701,236
TMEM109,0.296003245195917,222
PRDM1,0.296003788634181,229
SGIP1,0.296004352032282,225
CLK3,0.296004379977948,233
AEBP2,0.296006326106494,236
FIZ1,0.296006416999531,220
TPTE2P6,0.296007193487397,222
IGFALS,0.296008297429487,221
TSEN2,0.29600848737891,221
MORC2_AS1,0.296008992567641,221
KIF2C,0.296010252393767,236
WDR90,0.296010604182378,223
ZNRD1,0.296011133216017,221
FOSB,0.296011199986899,221
ZNF787,0.296011495620233,217
RPGR,0.296011544803509,226
KCTD9,0.296013293100622,230
ANK1,0.296013970636929,220
DND1,0.296014566626777,227
ZCCHC3,0.296014976102579,224
ZNF444,0.296015658944222,217
CHIC2,0.296016280570203,233
C19orf25,0.296016563022862,216
RCN3,0.296016600519226,221
MYH7B,0.29601689005555,226
PER1,0.296017516614358,220
SERTAD4,0.296018287329164,225
MRPS26,0.296019193774075,229
PLEKHH3,0.296021880232073,220
ANKS3,0.296022262920451,215
ARL5B,0.296022781584936,225
PDCD7,0.296022808135887,235
OSBPL5,0.296022975957989,234
PPARGC1A,0.296023720505335,222
PAXIP1,0.296024542261388,220
DCUN1D2,0.29602511214626,228
TRMT61B,0.296026181474469,228
CASP8AP2,0.296026232193074,220
ZNF791,0.296026318255663,222
FGF18,0.296027072441293,225
PRIM1,0.296028320056803,221
ACAN,0.296028794361575,232
THAP10,0.296029029541672,225
ALDH1A3,0.296030255554455,220
WDR33,0.296030927917811,220
SFI1,0.296030970603975,225
MYNN,0.296031605208233,227
ERCC4,0.296032954065629,225
ZNF136,0.29603319768922,223
EHD2,0.296033592429531,223
ZNF250,0.296033601425846,219
DPY19L1P1,0.296033901994529,224
DCBLD2,0.296033990511468,223
PPIEL,0.296034440009772,222
USP36,0.296034678779335,226
TLE2,0.296034918347002,221
LTB,0.296034988372123,224
HIST1H4E,0.296035448623678,224
ASTE1,0.296036181618909,228
NFKB1,0.29603637507436,226
CNOT6L,0.296037530884588,225
GZF1,0.29603871187756,229
MSRB3,0.29603923738273,233
UBAP1L,0.296039832214547,223
HNRNPUL2,0.296039998116313,229
EZH2,0.296040325095163,234
TAZ,0.2960405361397,226
AVPI1,0.296040724584001,229
SDHAF2,0.296041469181966,223
HAGHL,0.296041771791759,229
DMKN,0.296042411826829,219
TNNC2,0.296042820346096,225
TFB1M,0.29604400994825,231
SLC35A4,0.296045217271362,233
NR3C1,0.296045309273966,228
SLC39A13,0.296045884559219,227
GNAS,0.296046992568019,227
ARID2,0.296047150713649,227
AMH,0.296047269973088,224
OGFOD2,0.296047277173742,234
COL7A1,0.296047395911645,225
GSTT1,0.296047906400842,228
RANBP17,0.296048464986112,227
CUX1,0.296049973171725,223
TUBD1,0.296051507196597,239
MOGAT1,0.296051513710529,229
HELQ,0.296051812905928,230
ZNF34,0.296051988963436,225
ZCCHC8,0.296054747554143,244
EML2,0.29605646336074,232
STX8,0.296056562638239,240
GTF3C3,0.29605710201102,234
ARAP3,0.296057437149625,232
STRN,0.296057961302736,237
MAX,0.296058465874074,240
ASAP1_IT1,0.296058785540615,225
ZNF630,0.296059691750978,233
ITGA11,0.296059710606785,239
TCHH,0.296060126828068,233
SLC38A2,0.29606016177432,240
SNRNP40,0.296060290965421,241
HAUS8,0.296060573693994,239
FBN1,0.296061087143873,225
ZBED5,0.296061238787574,229
ZIM2,0.296061591530339,231
NKX1_2,0.296062592393008,229
MYC,0.296063200784847,229
CMYA5,0.296063875684804,232
TSPAN9,0.296063990679467,232
LINC00476,0.296065424495707,230
CEP95,0.29606769711095,234
C3orf18,0.296069403155598,234
MAMDC4,0.296069540161099,233
MBNL2,0.296069921321162,232
HSPA1L,0.296070665915315,232
MAML1,0.296074394034685,245
TTLL11,0.296075004153279,234
MOCS1,0.296075288393046,234
NSUN5,0.296077011192862,234
GLA,0.2960774021305,251
DEXI,0.296079071289096,238
MED20,0.296082348226496,236
UBN2,0.296082756181258,245
SNHG1,0.296084727271525,247
HERPUD1,0.296084792388282,242
GGT1,0.296086297763855,252
LAPTM4B,0.29608692814786,240
EPB41,0.296088397154919,241
CDR2L,0.296089506928963,245
TRPC3,0.296092873138165,244
ZNF284,0.296097911251765,243
PRPF4B,0.296104811123343,250
RP9,0.296188322072573,266
GIPC1,0.296277963127903,275
ZNF267,0.296587811903508,232
SRSF1,0.2966343457044,255
MAT2B,0.296693254721444,243
MED21,0.296700837626079,244
TRIM7,0.296857822602531,234
CREBZF,0.296870461640582,239
EIF5A2,0.296881349785731,248
FDX1,0.29718364600076,253
PDIK1L,0.297264795900683,243
ZBTB8OS,0.297332689824496,255
SHD,0.2973785276394,238
ANKRD34C,0.297532881968139,259
ZBTB38,0.297542774187588,256
YOD1,0.297633209037088,249
