risk gene,clearance gene,correlation,t
A1BG,LAMP5,0,0
A2M,LAMP5,0,0
A2ML1,LAMP5,0,0
A4GALT,LAMP5,0,0
AAAS,LAMP5,0,0
AACS,LAMP5,0,0
AADACL3,LAMP5,0,0
AADAT,LAMP5,0,0
AAED1,LAMP5,0,0
AAGAB,LAMP5,0,0
AAK1,LAMP5,0,0
AAMP,LAMP5,0,0
AANAT,LAMP5,0,0
AARD,LAMP5,0,0
AARS,LAMP5,0,0
AARS2,LAMP5,0,0
AASDH,LAMP5,0,0
AASDHPPT,LAMP5,0,0
AASS,LAMP5,0,0
AATF,LAMP5,0,0
AATK,LAMP5,0,0
ABAT,LAMP5,0,0
ABCA1,LAMP5,0,0
ABCA10,LAMP5,0,0
ABCA11P,LAMP5,0,0
ABCA2,LAMP5,0,0
ABCA3,LAMP5,0,0
ABCA5,LAMP5,0,0
ABCA6,LAMP5,0,0
ABCA7,LAMP5,0,0
ABCA8,LAMP5,0,0
ABCA9,LAMP5,0,0
ABCB1,LAMP5,0,0
ABCB10,LAMP5,0,0
ABCB6,LAMP5,0,0
ABCB7,LAMP5,0,0
ABCB8,LAMP5,0,0
ABCB9,LAMP5,0,0
ABCC1,LAMP5,0,0
ABCC10,LAMP5,0,0
ABCC12,LAMP5,0,0
ABCC5,LAMP5,0,0
ABCC6,LAMP5,0,0
ABCC8,LAMP5,0,0
ABCC9,LAMP5,0,0
ABCD2,LAMP5,0,0
ABCD3,LAMP5,0,0
ABCD4,LAMP5,0,0
ABCE1,LAMP5,0,0
ABCF1,LAMP5,0,0
ABCF2,LAMP5,0,0
ABCF3,LAMP5,0,0
ABCG1,LAMP5,0,0
ABCG2,LAMP5,0,0
ABCG4,LAMP5,0,0
ABCG8,LAMP5,0,0
ABHD1,LAMP5,0,0
ABHD10,LAMP5,0,0
ABHD11,LAMP5,0,0
ABHD12,LAMP5,0,0
ABHD12B,LAMP5,0,0
ABHD13,LAMP5,0,0
ABHD14A,LAMP5,0,0
ABHD14B,LAMP5,0,0
ABHD2,LAMP5,0,0
ABHD3,LAMP5,0,0
ABHD4,LAMP5,0,0
ABHD5,LAMP5,0,0
ABHD6,LAMP5,0,0
ABHD8,LAMP5,0,0
ABI1,LAMP5,0,0
ABI2,LAMP5,0,0
ABI3,LAMP5,0,0
ABL1,LAMP5,0,0
ABL2,LAMP5,0,0
ABLIM1,LAMP5,0,0
ABLIM2,LAMP5,0,0
ABLIM3,LAMP5,0,0
ABR,LAMP5,0,0
ABT1,LAMP5,0,0
ABTB1,LAMP5,0,0
ABTB2,LAMP5,0,0
ACAA1,LAMP5,0,0
ACAA2,LAMP5,0,0
ACACA,LAMP5,0,0
ACACB,LAMP5,0,0
ACAD10,LAMP5,0,0
ACAD11,LAMP5,0,0
ACAD8,LAMP5,0,0
ACAD9,LAMP5,0,0
ACADL,LAMP5,0,0
ACADM,LAMP5,0,0
ACADSB,LAMP5,0,0
ACADVL,LAMP5,0,0
ACAN,LAMP5,0,0
ACAP2,LAMP5,0,0
ACAP3,LAMP5,0,0
ACAT1,LAMP5,0,0
ACAT2,LAMP5,0,0
ACBD3,LAMP5,0,0
ACBD4,LAMP5,0,0
ACBD5,LAMP5,0,0
ACBD6,LAMP5,0,0
ACBD7,LAMP5,0,0
ACCS,LAMP5,0,0
ACD,LAMP5,0,0
ACER2,LAMP5,0,0
ACER3,LAMP5,0,0
ACHE,LAMP5,0,0
ACIN1,LAMP5,0,0
ACLY,LAMP5,0,0
ACO1,LAMP5,0,0
ACO2,LAMP5,0,0
ACOT11,LAMP5,0,0
ACOT13,LAMP5,0,0
ACOT2,LAMP5,0,0
ACOT4,LAMP5,0,0
ACOT7,LAMP5,0,0
ACOT8,LAMP5,0,0
ACOT9,LAMP5,0,0
ACOX1,LAMP5,0,0
ACOX2,LAMP5,0,0
ACOX3,LAMP5,0,0
ACP1,LAMP5,0,0
ACP2,LAMP5,0,0
ACP5,LAMP5,0,0
ACP6,LAMP5,0,0
ACPP,LAMP5,0,0
ACR,LAMP5,0,0
ACRBP,LAMP5,0,0
ACSBG1,LAMP5,0,0
ACSF2,LAMP5,0,0
ACSF3,LAMP5,0,0
ACSL1,LAMP5,0,0
ACSL3,LAMP5,0,0
ACSL4,LAMP5,0,0
ACSL6,LAMP5,0,0
ACSM1,LAMP5,0,0
ACSM2A,LAMP5,0,0
ACSS1,LAMP5,0,0
ACSS2,LAMP5,0,0
ACSS3,LAMP5,0,0
ACTA1,LAMP5,0,0
ACTA2,LAMP5,0,0
ACTB,LAMP5,0,0
ACTBL2,LAMP5,0,0
ACTC1,LAMP5,0,0
ACTG1,LAMP5,0,0
ACTG1P4,LAMP5,0,0
ACTG2,LAMP5,0,0
ACTL6A,LAMP5,0,0
ACTL6B,LAMP5,0,0
ACTN1,LAMP5,0,0
ACTN2,LAMP5,0,0
ACTN4,LAMP5,0,0
ACTR10,LAMP5,0,0
ACTR1A,LAMP5,0,0
ACTR1B,LAMP5,0,0
ACTR2,LAMP5,0,0
ACTR3,LAMP5,0,0
ACTR3B,LAMP5,0,0
ACTR3BP2,LAMP5,0,0
ACTR5,LAMP5,0,0
ACTR6,LAMP5,0,0
ACTR8,LAMP5,0,0
ACVR1,LAMP5,0,0
ACVR1B,LAMP5,0,0
ACVR1C,LAMP5,0,0
ACVR2A,LAMP5,0,0
ACVR2B,LAMP5,0,0
ACVRL1,LAMP5,0,0
ACYP1,LAMP5,0,0
ACYP2,LAMP5,0,0
ADA,LAMP5,0,0
ADAD2,LAMP5,0,0
ADAL,LAMP5,0,0
ADAM10,LAMP5,0,0
ADAM11,LAMP5,0,0
ADAM15,LAMP5,0,0
ADAM17,LAMP5,0,0
ADAM19,LAMP5,0,0
ADAM20,LAMP5,0,0
ADAM22,LAMP5,0,0
ADAM23,LAMP5,0,0
ADAM28,LAMP5,0,0
ADAM29,LAMP5,0,0
ADAM33,LAMP5,0,0
ADAM7,LAMP5,0,0
ADAM8,LAMP5,0,0
ADAM9,LAMP5,0,0
ADAMTS1,LAMP5,0,0
ADAMTS10,LAMP5,0,0
ADAMTS13,LAMP5,0,0
ADAMTS14,LAMP5,0,0
ADAMTS19,LAMP5,0,0
ADAMTS2,LAMP5,0,0
ADAMTS4,LAMP5,0,0
ADAMTS5,LAMP5,0,0
ADAMTS7,LAMP5,0,0
ADAMTS8,LAMP5,0,0
ADAMTS9,LAMP5,0,0
ADAMTSL1,LAMP5,0,0
ADAMTSL2,LAMP5,0,0
ADAMTSL3,LAMP5,0,0
ADAMTSL5,LAMP5,0,0
ADAP1,LAMP5,0,0
ADAP2,LAMP5,0,0
ADAR,LAMP5,0,0
ADARB1,LAMP5,0,0
ADARB2,LAMP5,0,0
ADARB2_AS1,LAMP5,0,0
ADAT1,LAMP5,0,0
ADAT2,LAMP5,0,0
ADAT3,LAMP5,0,0
ADCK1,LAMP5,0,0
ADCK2,LAMP5,0,0
ADCK5,LAMP5,0,0
ADCY1,LAMP5,0,0
ADCY2,LAMP5,0,0
ADCY3,LAMP5,0,0
ADCY4,LAMP5,0,0
ADCY5,LAMP5,0,0
ADCY6,LAMP5,0,0
ADCY7,LAMP5,0,0
ADCY8,LAMP5,0,0
ADCY9,LAMP5,0,0
ADCYAP1,LAMP5,0,0
ADCYAP1R1,LAMP5,0,0
ADD1,LAMP5,0,0
ADD2,LAMP5,0,0
ADD3,LAMP5,0,0
ADH5,LAMP5,0,0
ADHFE1,LAMP5,0,0
ADI1,LAMP5,0,0
ADIPOR1,LAMP5,0,0
ADIPOR2,LAMP5,0,0
ADK,LAMP5,0,0
ADM,LAMP5,0,0
ADNP,LAMP5,0,0
ADNP2,LAMP5,0,0
ADO,LAMP5,0,0
ADORA1,LAMP5,0,0
ADORA2B,LAMP5,0,0
ADPGK,LAMP5,0,0
ADPRHL1,LAMP5,0,0
ADPRHL2,LAMP5,0,0
ADRA1A,LAMP5,0,0
ADRA1B,LAMP5,0,0
ADRA1D,LAMP5,0,0
ADRA2A,LAMP5,0,0
ADRA2C,LAMP5,0,0
ADRB1,LAMP5,0,0
ADRB2,LAMP5,0,0
ADRM1,LAMP5,0,0
ADSL,LAMP5,0,0
ADSS,LAMP5,0,0
ADSSL1,LAMP5,0,0
AEBP1,LAMP5,0,0
AEBP2,LAMP5,0,0
AES,LAMP5,0,0
AFAP1,LAMP5,0,0
AFAP1L1,LAMP5,0,0
AFAP1L2,LAMP5,0,0
AFF1,LAMP5,0,0
AFF2,LAMP5,0,0
AFF3,LAMP5,0,0
AFF4,LAMP5,0,0
AFG3L1P,LAMP5,0,0
AFG3L2,LAMP5,0,0
AFMID,LAMP5,0,0
AFTPH,LAMP5,0,0
AGA,LAMP5,0,0
AGAP1,LAMP5,0,0
AGAP11,LAMP5,0,0
AGAP2,LAMP5,0,0
AGAP3,LAMP5,0,0
AGBL2,LAMP5,0,0
AGBL3,LAMP5,0,0
AGBL4,LAMP5,0,0
AGBL5,LAMP5,0,0
AGER,LAMP5,0,0
AGFG1,LAMP5,0,0
AGFG2,LAMP5,0,0
AGGF1,LAMP5,0,0
AGK,LAMP5,0,0
AGL,LAMP5,0,0
AGMAT,LAMP5,0,0
AGPAT1,LAMP5,0,0
AGPAT3,LAMP5,0,0
AGPAT4,LAMP5,0,0
AGPAT4_IT1,LAMP5,0,0
AGPAT5,LAMP5,0,0
AGPS,LAMP5,0,0
AGRN,LAMP5,0,0
AGT,LAMP5,0,0
AGTPBP1,LAMP5,0,0
AGTRAP,LAMP5,0,0
AGXT,LAMP5,0,0
AHCTF1,LAMP5,0,0
AHCY,LAMP5,0,0
AHCYL1,LAMP5,0,0
AHCYL2,LAMP5,0,0
AHDC1,LAMP5,0,0
AHI1,LAMP5,0,0
AHNAK,LAMP5,0,0
AHNAK2,LAMP5,0,0
AHR,LAMP5,0,0
AHSA1,LAMP5,0,0
AHSG,LAMP5,0,0
AIDA,LAMP5,0,0
AIF1,LAMP5,0,0
AIF1L,LAMP5,0,0
AIFM1,LAMP5,0,0
AIFM2,LAMP5,0,0
AIFM3,LAMP5,0,0
AIG1,LAMP5,0,0
AIMP1,LAMP5,0,0
AIMP2,LAMP5,0,0
AIP,LAMP5,0,0
AIRE,LAMP5,0,0
AJAP1,LAMP5,0,0
AK1,LAMP5,0,0
AK2,LAMP5,0,0
AK3,LAMP5,0,0
AK5,LAMP5,0,0
AKAP1,LAMP5,0,0
AKAP10,LAMP5,0,0
AKAP11,LAMP5,0,0
AKAP12,LAMP5,0,0
AKAP13,LAMP5,0,0
AKAP5,LAMP5,0,0
AKAP6,LAMP5,0,0
AKAP7,LAMP5,0,0
AKAP8,LAMP5,0,0
AKAP8L,LAMP5,0,0
AKAP9,LAMP5,0,0
AKIRIN1,LAMP5,0,0
AKIRIN2,LAMP5,0,0
AKR1A1,LAMP5,0,0
AKR1B1,LAMP5,0,0
AKR1C1,LAMP5,0,0
AKR1C3,LAMP5,0,0
AKR1C4,LAMP5,0,0
AKR7A2,LAMP5,0,0
AKR7A2P1,LAMP5,0,0
AKR7A3,LAMP5,0,0
AKR7L,LAMP5,0,0
AKT1,LAMP5,0,0
AKT1S1,LAMP5,0,0
AKT2,LAMP5,0,0
AKT3,LAMP5,0,0
AKTIP,LAMP5,0,0
ALAD,LAMP5,0,0
ALAS1,LAMP5,0,0
ALAS2,LAMP5,0,0
ALB,LAMP5,0,0
ALCAM,LAMP5,0,0
ALDH16A1,LAMP5,0,0
ALDH18A1,LAMP5,0,0
ALDH1A1,LAMP5,0,0
ALDH1A3,LAMP5,0,0
ALDH1B1,LAMP5,0,0
ALDH1L1,LAMP5,0,0
ALDH1L2,LAMP5,0,0
ALDH2,LAMP5,0,0
ALDH3A2,LAMP5,0,0
ALDH3B1,LAMP5,0,0
ALDH4A1,LAMP5,0,0
ALDH5A1,LAMP5,0,0
ALDH6A1,LAMP5,0,0
ALDH7A1,LAMP5,0,0
ALDH8A1,LAMP5,0,0
ALDH9A1,LAMP5,0,0
ALDOA,LAMP5,0,0
ALDOC,LAMP5,0,0
ALG1,LAMP5,0,0
ALG10,LAMP5,0,0
ALG10B,LAMP5,0,0
ALG11,LAMP5,0,0
ALG12,LAMP5,0,0
ALG13,LAMP5,0,0
ALG14,LAMP5,0,0
ALG1L,LAMP5,0,0
ALG2,LAMP5,0,0
ALG3,LAMP5,0,0
ALG5,LAMP5,0,0
ALG6,LAMP5,0,0
ALG8,LAMP5,0,0
ALG9,LAMP5,0,0
ALK,LAMP5,0,0
ALKBH1,LAMP5,0,0
ALKBH2,LAMP5,0,0
ALKBH3,LAMP5,0,0
ALKBH4,LAMP5,0,0
ALKBH5,LAMP5,0,0
ALKBH6,LAMP5,0,0
ALKBH7,LAMP5,0,0
ALKBH8,LAMP5,0,0
ALMS1,LAMP5,0,0
ALOX12B,LAMP5,0,0
ALOX12P2,LAMP5,0,0
ALOX15B,LAMP5,0,0
ALOX5,LAMP5,0,0
ALOX5AP,LAMP5,0,0
ALPK1,LAMP5,0,0
ALPL,LAMP5,0,0
ALPP,LAMP5,0,0
ALPPL2,LAMP5,0,0
ALS2,LAMP5,0,0
ALS2CL,LAMP5,0,0
ALS2CR12,LAMP5,0,0
ALX3,LAMP5,0,0
AMACR,LAMP5,0,0
AMBRA1,LAMP5,0,0
AMD1,LAMP5,0,0
AMDHD2,LAMP5,0,0
AMFR,LAMP5,0,0
AMH,LAMP5,0,0
AMIGO1,LAMP5,0,0
AMIGO2,LAMP5,0,0
AMIGO3,LAMP5,0,0
AMMECR1,LAMP5,0,0
AMMECR1L,LAMP5,0,0
AMN,LAMP5,0,0
AMN1,LAMP5,0,0
AMOT,LAMP5,0,0
AMOTL1,LAMP5,0,0
AMOTL2,LAMP5,0,0
AMPD2,LAMP5,0,0
AMPD3,LAMP5,0,0
AMPH,LAMP5,0,0
AMT,LAMP5,0,0
AMY2A,LAMP5,0,0
AMZ1,LAMP5,0,0
AMZ2,LAMP5,0,0
AMZ2P1,LAMP5,0,0
ANAPC1,LAMP5,0,0
ANAPC10,LAMP5,0,0
ANAPC11,LAMP5,0,0
ANAPC13,LAMP5,0,0
ANAPC2,LAMP5,0,0
ANAPC4,LAMP5,0,0
ANAPC5,LAMP5,0,0
ANAPC7,LAMP5,0,0
ANG,LAMP5,0,0
ANGEL1,LAMP5,0,0
ANGEL2,LAMP5,0,0
ANGPT1,LAMP5,0,0
ANGPT2,LAMP5,0,0
ANGPTL2,LAMP5,0,0
ANGPTL4,LAMP5,0,0
ANGPTL6,LAMP5,0,0
ANK1,LAMP5,0,0
ANK2,LAMP5,0,0
ANK3,LAMP5,0,0
ANKAR,LAMP5,0,0
ANKDD1A,LAMP5,0,0
ANKFY1,LAMP5,0,0
ANKH,LAMP5,0,0
ANKHD1,LAMP5,0,0
ANKIB1,LAMP5,0,0
ANKK1,LAMP5,0,0
ANKLE2,LAMP5,0,0
ANKMY2,LAMP5,0,0
ANKRA2,LAMP5,0,0
ANKRD10,LAMP5,0,0
ANKRD11,LAMP5,0,0
ANKRD12,LAMP5,0,0
ANKRD13A,LAMP5,0,0
ANKRD13B,LAMP5,0,0
ANKRD13C,LAMP5,0,0
ANKRD13D,LAMP5,0,0
ANKRD16,LAMP5,0,0
ANKRD17,LAMP5,0,0
ANKRD18A,LAMP5,0,0
ANKRD18B,LAMP5,0,0
ANKRD19P,LAMP5,0,0
ANKRD2,LAMP5,0,0
ANKRD20A12P,LAMP5,0,0
ANKRD20A5P,LAMP5,0,0
ANKRD20A8P,LAMP5,0,0
ANKRD20A9P,LAMP5,0,0
ANKRD23,LAMP5,0,0
ANKRD24,LAMP5,0,0
ANKRD26,LAMP5,0,0
ANKRD27,LAMP5,0,0
ANKRD28,LAMP5,0,0
ANKRD29,LAMP5,0,0
ANKRD30BP2,LAMP5,0,0
ANKRD33,LAMP5,0,0
ANKRD33B,LAMP5,0,0
ANKRD34A,LAMP5,0,0
ANKRD34C,LAMP5,0,0
ANKRD35,LAMP5,0,0
ANKRD36B,LAMP5,0,0
ANKRD36BP2,LAMP5,0,0
ANKRD36C,LAMP5,0,0
ANKRD37,LAMP5,0,0
ANKRD39,LAMP5,0,0
ANKRD40,LAMP5,0,0
ANKRD42,LAMP5,0,0
ANKRD44,LAMP5,0,0
ANKRD45,LAMP5,0,0
ANKRD46,LAMP5,0,0
ANKRD49,LAMP5,0,0
ANKRD50,LAMP5,0,0
ANKRD52,LAMP5,0,0
ANKRD53,LAMP5,0,0
ANKRD54,LAMP5,0,0
ANKRD6,LAMP5,0,0
ANKRD65,LAMP5,0,0
ANKRD9,LAMP5,0,0
ANKS1A,LAMP5,0,0
ANKS1B,LAMP5,0,0
ANKS3,LAMP5,0,0
ANKS6,LAMP5,0,0
ANKZF1,LAMP5,0,0
ANLN,LAMP5,0,0
ANO10,LAMP5,0,0
ANO2,LAMP5,0,0
ANO3,LAMP5,0,0
ANO5,LAMP5,0,0
ANO6,LAMP5,0,0
ANO7,LAMP5,0,0
ANO8,LAMP5,0,0
ANP32A,LAMP5,0,0
ANP32A_IT1,LAMP5,0,0
ANP32AP1,LAMP5,0,0
ANP32B,LAMP5,0,0
ANP32C,LAMP5,0,0
ANP32D,LAMP5,0,0
ANP32E,LAMP5,0,0
ANTXR1,LAMP5,0,0
ANTXR2,LAMP5,0,0
ANXA1,LAMP5,0,0
ANXA11,LAMP5,0,0
ANXA2,LAMP5,0,0
ANXA2P1,LAMP5,0,0
ANXA2R,LAMP5,0,0
ANXA3,LAMP5,0,0
ANXA4,LAMP5,0,0
ANXA5,LAMP5,0,0
ANXA6,LAMP5,0,0
ANXA7,LAMP5,0,0
AOC2,LAMP5,0,0
AOC3,LAMP5,0,0
AP1B1,LAMP5,0,0
AP1G1,LAMP5,0,0
AP1G2,LAMP5,0,0
AP1M1,LAMP5,0,0
AP1S1,LAMP5,0,0
AP1S2,LAMP5,0,0
AP1S3,LAMP5,0,0
AP2A1,LAMP5,0,0
AP2A2,LAMP5,0,0
AP2B1,LAMP5,0,0
AP2M1,LAMP5,0,0
AP2S1,LAMP5,0,0
AP3B1,LAMP5,0,0
AP3B2,LAMP5,0,0
AP3D1,LAMP5,0,0
AP3M1,LAMP5,0,0
AP3M2,LAMP5,0,0
AP3S1,LAMP5,0,0
AP4B1,LAMP5,0,0
AP4E1,LAMP5,0,0
AP4M1,LAMP5,0,0
AP4S1,LAMP5,0,0
AP5B1,LAMP5,0,0
AP5Z1,LAMP5,0,0
APAF1,LAMP5,0,0
APBA1,LAMP5,0,0
APBA2,LAMP5,0,0
APBA3,LAMP5,0,0
APBB1,LAMP5,0,0
APBB1IP,LAMP5,0,0
APBB2,LAMP5,0,0
APBB3,LAMP5,0,0
