gene,correlation
GADD45G,0.17513556031509
GLA,0.176401262085765
GDPD5,0.177335958759508
HSPB8,0.184601112884584
HELQ,0.185611296643852
COX17,0.187476095487231
AIP,0.188578582191596
MGAT4C,0.189034264625105
MBTD1,0.191353793958593
GMPS,0.192233517468156
MFF,0.193121336782128
DHX32,0.193283456700353
AFAP1L2,0.193336313146855
APBA3,0.195133375891002
GORAB,0.196220705453905
FLJ30901,0.196651157010442
DHX36,0.197064226626116
IER2,0.197183693806209
CTXN3,0.197730225690215
KNG1,0.197788694906979
IL11,0.198031679775536
HERPUD1,0.198530994339565
INSL3,0.198558297192787
ANO7,0.198975017298018
LOC100289361,0.200454453135223
ARMC8,0.200497817260771
DNAJC27,0.201128084457411
CMYA5,0.201732805818243
ARHGEF16,0.202384969125244
ASTN2,0.20240044049702
ETHE1,0.202704837453429
LTV1,0.202780522275461
METAP2,0.202954421617022
HAGHL,0.20299234093912
ABHD10,0.203430908950992
GSTZ1,0.20346670726802
AVPI1,0.203662641783513
BHLHE41,0.20408886410615
APOLD1,0.204383062035783
ATP6V0A2,0.204417703358791
AFAP1L1,0.204490167424638
ALG6,0.204785389381505
CTSZ,0.205761284320381
COG8,0.206252803785532
GCC1,0.206993199676601
ALKBH2,0.207120914754316
KDELC1,0.207142020108382
EIF5A2,0.20716544229512
CELA1,0.207174495489253
KLC4,0.207294260645956
LAMA2,0.207304658110941
KCTD9,0.20734328052945
ASNSD1,0.207933634981345
MAFF,0.208438763420739
ABHD12B,0.208465363548882
CDK2AP1,0.208467406867813
FDX1,0.208537717301911
ELMO3,0.208737520388821
ANKRD34C,0.208740884612631
DCUN1D2,0.208798489660702
GHDC,0.209235481925422
DEXI,0.209362798805226
GSTT1,0.209475596782652
LGI2,0.209527447091032
HAPLN4,0.209546029992652
HEXIM1,0.209594974532285
HS3ST5,0.209871212158347
ASTE1,0.209923976666227
ESAM,0.210895615914881
EIF2B2,0.210998184239133
LBH,0.211023585216549
LGI3,0.211078507997995
GPR20,0.211210062055258
INA,0.211214457205707
ARL2,0.211631621067148
HAR1A,0.211961169314198
DACH1,0.211974475682533
GALR1,0.212097931844389
GTF3C3,0.212240973498137
CUTA,0.212463404472087
LINC00515,0.212484888554156
FGF18,0.212490687964406
MAP2K3,0.212539705489081
FAM3A,0.21262998264702
FAM19A4,0.212802399665687
AURKA,0.213284840810301
ANKRD27,0.213362856644659
BNIPL,0.213430564012731
CLEC11A,0.213456802442457
ADAM23,0.213461672854402
FOXQ1,0.213666035047337
ICAM2,0.213975343804366
COX6B2,0.213991279186326
ALDH1A3,0.214044970763801
C3orf18,0.214065912605362
GPR108,0.214141948933235
JAM2,0.214263985935946
FRG1,0.214312902259797
FAM114A2,0.214318055567459
FKBP7,0.214318604199858
DIP2A,0.21432580745193
EIF4E2,0.214351742834988
GRPEL2,0.214694128510505
APPBP2,0.214695752222964
HSPB2,0.214730894635559
HIST1H2AB,0.214769013297112
KIF2C,0.214781850776293
LCP2,0.214864759208211
DCUN1D3,0.214923571305622
LTB,0.215092464992917
FOXP4,0.21510616096037
FAM160B2,0.215403781371587
BHLHE40,0.215472731393374
MED20,0.215538424251893
CDA,0.21554000871196
CLDN12,0.216214325307745
MEGF6,0.216422273705646
EXTL2,0.216469066146972
ADPRHL1,0.216506809137123
CHIC2,0.216547340900299
FUT11,0.216563235388102
CLDN5,0.21665900495659
DHX15,0.216758134780374
FAM43B,0.216770385002457
LOC100132831,0.216799164936147
ARID2,0.216962582719784
EPN3,0.217068347746373
ILK,0.217076913786821
DNAJC22,0.217434807847539
ATP8B1,0.217635148734037
DCBLD2,0.217661361713234
ISCU,0.217782038967587
GPX3,0.217805073617097
GUCY1A2,0.217828539371004
CLEC2L,0.217976508285871
HRC,0.218050786781118
ATF4,0.218115507641547
BCDIN3D,0.218121582212251
HSPA1L,0.218213786042223
ENPP6,0.218274747108242
ENTPD3,0.218320614467774
HEXDC,0.218345164809596
C2CD2,0.218435543678487
HMBS,0.218487064561834
KLHL20,0.218534572538092
FBXL14,0.218711407804168
GNL2,0.218733118028475
CDS1,0.219097079843188
FBXO32,0.219282150920266
MBNL2,0.219397925404738
GIPC1,0.219421653851072
COMMD4,0.219441245822054
ETAA1,0.219467846080813
MGAT5,0.219621571058355
AAAS,0.219730929834903
JAGN1,0.219734392679934
IMPG1,0.219755012956248
BCAT1,0.219841378227055
AUH,0.220021033746143
DENND5B,0.220053037454892
HIST1H3H,0.220071067758721
AIMP1,0.220212104449002
COMMD8,0.220254451284563
LOC440311,0.220402242095477
ARHGAP9,0.220445987936641
LAPTM4B,0.220508280858328
BAZ1B,0.220517365319197
LYPD5,0.220750788755083
LURAP1L,0.220754742705724
MCEE,0.220819724777149
IDE,0.220995537926416
COX5B,0.22101074215745
IL15RA,0.221122569303437
ADNP2,0.221309035785668
FBN1,0.221359894850673
KREMEN2,0.221537520292168
LAG3,0.221541064373067
HARBI1,0.221563650634998
LOC407835,0.221571621770015
MGST2,0.221580489809207
ARG2,0.221668699074781
HCRT,0.221696416466727
CSAG3,0.221755295326229
LRRN3,0.221769098935917
MAP2K6,0.221812896676885
CLP1,0.221860197003254
DNAJC4,0.221918192003277
IGFBP2,0.221953608457559
DENND2D,0.222095046343542
EPHB3,0.222097980404124
DHX35,0.222121912635667
GZF1,0.222245071009308
ESRRG,0.222245378685785
GABRG3,0.222266899080487
ANKRD37,0.222284949537671
BCL3,0.222304120102586
ARL5B,0.222346573859542
MAD1L1,0.22242937281943
BMS1,0.222491824078069
ERRFI1,0.222675108148174
CDC42SE1,0.222694739583946
ATG4D,0.222782162980401
EDNRA,0.222820279609088
DEFB1,0.222842786474422
GPR158,0.222848347647838
GTF3C2,0.222921389090515
ANK1,0.223167833091883
CCDC78,0.223200591545302
GADD45B,0.223490816513101
FOXF2,0.223540913519187
AIFM1,0.223625433966365
EIF5,0.223806008039039
ALDH1B1,0.223863699640217
MAX,0.223874657310097
DDX11,0.223898152307302
CCDC158,0.223901185727524
ELN,0.223938904961426
BUD13,0.22433811817553
CHD9,0.224352051878568
ADRA2A,0.224415574903019
LENG1,0.224438590586084
C12orf49,0.224462809881534
ARL4C,0.22446685677097
LRRC32,0.224568108920268
GNAS,0.224604821911024
HR,0.224718819706133
DMXL1,0.224772276717171
ADAMTS2,0.22483621647464
ALS2CL,0.224913443883112
MCF2L_AS1,0.22508381981918
ENTPD7,0.225137498872836
LRCH1,0.225207257237867
CD99L2,0.225327043340729
ASAP2,0.225334245201495
KIF23,0.225462427114327
LMLN,0.225492375478401
CEBPB,0.225527380178273
CYB5R4,0.22555575325457
ERMP1,0.225563129231546
CCDC115,0.225622531283154
FASTKD5,0.225680705195445
MAP3K6,0.22573325476892
ADSSL1,0.225819882818171
C12orf57,0.225929806530688
BICD1,0.225948615731929
CCDC93,0.225978430602462
KIAA1614,0.226077477893232
C20orf196,0.226161963893268
ALG10B,0.226194449139127
GALNS,0.22620629232263
ADAMTS5,0.226206541761939
LGALS1,0.226213360116276
AFTPH,0.226268048145392
ETV6,0.226328125588205
ANKH,0.226409731026604
CBX3,0.226424044436394
MEX3C,0.226555404894223
LRRC58,0.226565936030576
FAM120C,0.226572805134023
GZMB,0.226704248658753
MEIS2,0.226739565457226
HERC6,0.226772867478872
FGF9,0.22677449491149
FAM43A,0.226893821087494
CASP8AP2,0.226947362384666
CLEC3B,0.226954587088816
FBXO33,0.227159181481868
GAPDH,0.227202742664937
ID1,0.227205741485567
C1orf174,0.227251851953593
BBS10,0.22731049821468
DCLRE1A,0.227350491040166
GTF2A2,0.227407228151851
ALKBH3,0.227412422257517
FLT3,0.227474900346645
IVNS1ABP,0.227543782574328
CSTF2T,0.227620462005186
ITPR3,0.227654889191213
CKAP2,0.227659794304166
GPR146,0.227679427038489
C12orf10,0.227684047326921
ASGR1,0.227718548576833
FOXL2,0.227748618044457
MGA,0.227787797740669
KLF2,0.227837608879768
C6orf106,0.227862362426842
ASB13,0.227880536902813
ACAN,0.227908741217672
LRBA,0.227974211777585
INO80E,0.227978861835161
FAT3,0.228086908988647
ACVRL1,0.228143029444085
METTL4,0.228175356893302
LAMA5,0.22820325297525
KLF9,0.228228264267207
COQ3,0.228442453002723
CD6,0.228459600487314
DCP1A,0.228476229587317
FIZ1,0.228517999591752
CNTROB,0.22852404126863
AKAP6,0.228530843520921
CLN6,0.228609867883094
JUNB,0.228677167766712
GGT1,0.228715714201564
HDAC5,0.228762297121783
EPHA1,0.228788258181705
AKAP12,0.228895889805991
DFFB,0.22890896679691
EFNA5,0.228971621985049
IDH3B,0.229045379624266
GNLY,0.229071381796505
JARID2,0.22922473673583
CASC1,0.229311714186943
CASP3,0.229372767394239
CACNA2D2,0.229401013186619
CACNG2,0.229405778701938
LIPT1,0.229472413194369
ABCB9,0.229550892267128
CDC73,0.229641951177954
KCNS3,0.229673752991288
GART,0.229766240341488
IFT172,0.229812260816085
KRIT1,0.229844894834554
CRYBB1,0.229973066694195
KIF9,0.230043249931881
CREB3L3,0.230066133118915
FMOD,0.230089748520191
FAM209A,0.230118378526592
FAR1,0.230151294746257
FLNC,0.230204134657599
IL7R,0.230214845086484
CLCN2,0.230253069715919
DTX2,0.23026215989051
HSD17B4,0.230304083970066
ESRRA,0.230360636052781
KRT31,0.230415981661743
ACYP2,0.230538512938831
CCDC114,0.230566737254643
JMJD6,0.230699891390423
CD320,0.230728439670865
CLK3,0.230752392303622
ADCY4,0.230752961267959
HIST1H1D,0.230790410474048
CDADC1,0.230825854173518
GOLGA1,0.230864607400892
KRT9,0.23092354055596
CSTF1,0.230980359899157
ALOX12B,0.231052412615297
KANK3,0.231106529516738
HNRNPUL2,0.23112491145356
DYNC2H1,0.231130181172514
ITPK1,0.231130542802812
C17orf100,0.231186791432966
KLHL28,0.23125833888672
ELAC1,0.231295186017582
CNNM2,0.231340377979593
EIF4ENIF1,0.231363322867596
CHAC1,0.231447478966349
ENO3,0.23146709550823
EHD2,0.23147452521604
CEP95,0.231481368850738
ARV1,0.231510623243701
GRIP2,0.23153079250147
CRTAC1,0.231586291846823
CEP63,0.231589945104673
ELOVL7,0.231677491520245
HOXD1,0.231734569067315
KRTAP2_3,0.231829850536093
HACL1,0.231961217756809
CRYBA2,0.232013529709927
LAMC1,0.23206561366592
C10orf95,0.232169021934664
FAM69B,0.232229699431815
ADARB2_AS1,0.232270439068389
KCNC1,0.23227845722942
CORO6,0.232299749113455
HNF1A,0.232304722540489
KATNAL2,0.232418042606818
CCR10,0.232437384565958
EIF4G2,0.232442982434781
COL4A4,0.232513696702412
JMY,0.232527521249109
MAP2K2,0.232532677363871
CDR2L,0.232546407904615
C16orf72,0.232565989803188
MGC16025,0.232591986506445
LYPLA1,0.232643197109383
FES,0.232712887727274
ABLIM1,0.232750612923774
AKAP1,0.232764240941912
ECSIT,0.232804762931659
HTATIP2,0.232868758188511
GK,0.232884374115132
BMP8B,0.232884945778443
ANXA3,0.23290720062119
FOXC1,0.23291712108771
B3GAT3,0.232933286992938
LY6G5C,0.232968604836706
C17orf75,0.232973850715567
GPR180,0.232982767567537
FOSL1,0.233045303796323
CSAG1,0.23311955193872
CCNI,0.233141519725987
MADCAM1,0.233149298203358
