gene,correlation
KCTD4,0.427617228
GPC4,0.424142397
IGFBP5,0.420636197
MAPK1,0.416127093
HIST1H2BK,0.415630665
GPC2,0.414603245
DR1,0.414564664
CCT6B,0.413183777
IL1B,0.413034399
HLA_DOA,0.412612244
BIRC3,0.412333762
CPNE6,0.409693416
ITGAM,0.409365197
HMOX1,0.408740835
GPD2,0.407044385
HLA_DMB,0.406750546
CRELD2,0.406159756
ITGB2,0.406125821
HNRNPC,0.404941726
ATP6V0A4,0.404275426
GTPBP4,0.403106346
LOC441052,0.402759669
LINC00260,0.402726763
C1orf226,0.40272127
ALOX5,0.402207897
IL33,0.401854752
LRRC3B,0.401630882
LOC441666,0.401160468
CBFB,0.400908611
BPHL,0.400369694
CPE,0.400315205
ARHGAP6,0.40010509
AKR7A2,0.399572058
CHRNB1,0.39931347
E2F5,0.399188875
GNA12,0.399094641
DOLPP1,0.399068194
ITPRIPL2,0.39898007
LMO1,0.398976966
CD24,0.398753048
AMZ1,0.398483562
GSTM5,0.398364687
KCNQ1,0.398295641
CCDC6,0.398073475
DYDC2,0.397816431
GLRA2,0.397691653
HEXA,0.397529935
LINC00302,0.397003911
ELMO2,0.396076526
GLOD4,0.396037616
CACNA1H,0.395401585
LOH12CR2,0.394999931
FYN,0.394658532
KLRC2,0.394525542
IFNAR1,0.394405388
IL13RA2,0.394312485
MAPK3,0.394064734
IL34,0.394019491
MBNL3,0.393947242
CDH4,0.393925021
LINC00320,0.393861709
C15orf40,0.393565565
GRIA1,0.393537115
GNG2,0.393411707
CD163,0.393361358
LILRB4,0.393276218
ELF4,0.393249586
GINS2,0.393182591
AGFG2,0.392785794
ASCL2,0.392771015
ACSF2,0.392538493
GDPD2,0.392363439
DPYD,0.392331595
ITM2B,0.392267886
KLHL5,0.392005813
MBLAC2,0.39186891
HBZ,0.391651417
A1BG,0.391528781
LOC644794,0.390835531
KIRREL2,0.390691428
COG1,0.390616149
ATXN10,0.39019569
ISG15,0.390093227
AKR7L,0.390073355
LCP1,0.389889565
APBB1IP,0.389704698
FAM162A,0.389344566
FAM107A,0.389338284
ICAM3,0.389194392
HDLBP,0.389083899
CD68,0.38903457
ALDH9A1,0.389008159
CREG1,0.388722912
DOCK8,0.388681713
APOPT1,0.388633061
KCTD12,0.388580076
GABRG1,0.38834527
CAMKV,0.38832902
MACROD2,0.388115827
DCLK2,0.388064324
LRRC42,0.387913875
LYRM2,0.387558439
LAT2,0.387446462
MAD2L2,0.387329157
ANK3,0.386914486
DCAF5,0.3868599
LTBP4,0.386692928
HTR2C,0.38654916
FAM102A,0.386516483
HIF3A,0.386281091
AIF1,0.386059669
GHR,0.385899306
CMAS,0.385874065
FKBP1B,0.385821232
EGLN1,0.3858041
AKR7A3,0.385724318
GSTO2,0.38565044
C3,0.385637185
BPNT1,0.385242438
BCAN,0.384987807
FCGR1B,0.384942903
HILS1,0.384777245
MGST1,0.384606829
IGSF22,0.384553232
DMGDH,0.384524985
CEBPA,0.384506807
CXADR,0.384494354
CHID1,0.384477557
GTF2F2,0.384172827
DERA,0.384015531
CMTM3,0.384011808
