gene,correlation
GNG2,0.161629174
ARL10,0.160812165
ATXN10,0.160776785
ACVR2A,0.159014652
EBAG9,0.158338773
MAP2,0.157566934
CD24,0.157401859
LANCL2,0.155072684
LY6H,0.154641005
HPCAL4,0.154229281
HMGCR,0.152820988
MESP1,0.152788849
GPC4,0.152571499
DMD,0.151588508
CMAS,0.151559266
DGKG,0.151133926
CAMK2D,0.150628808
C19orf12,0.150540475
FABP7,0.150490891
AKAP13,0.150490283
IL34,0.150070901
DCAF5,0.149654647
LOC100129291,0.149169801
CACNA2D1,0.149145156
COG1,0.148813522
C1orf226,0.148556249
DDI2,0.148169739
HTR1A,0.147811321
MAGED1,0.147807971
LINC00260,0.14767374
CXADR,0.14719811
CDK5R1,0.146909215
LOC728392,0.14690448
GRM1,0.146382697
MBP,0.146299387
CSMD3,0.145641436
ANKRD6,0.145495618
LCLAT1,0.145304655
BCL9,0.144779027
C22orf39,0.144725306
LRP1B,0.144682559
CCDC28A,0.144580768
ANXA7,0.144395738
MBLAC2,0.144276551
GABRA3,0.144239667
LMBRD2,0.144223324
ATP8A2,0.14373015
ASTN1,0.14350694
ARF1,0.143264091
DCTN5,0.143184668
FAM53C,0.143146515
DGCR2,0.143119809
HBZ,0.143024448
BHLHE22,0.142969767
C1QL1,0.142518734
DOK6,0.14230992
B3GALT6,0.142241921
KCND3,0.142170335
BMPR2,0.14178281
ARL15,0.141684995
LMO1,0.141564924
HOMER2,0.141280895
DMXL2,0.141202598
FRMD3,0.141104323
GHR,0.140887419
BPHL,0.140587684
IGDCC3,0.140527483
ATP2B4,0.140392051
LOC644794,0.140110888
GRIK2,0.140055225
MAGEE1,0.139884596
HAUS2,0.139864554
FZR1,0.139822755
CPSF6,0.139813462
CITED1,0.139745008
MAFG,0.139719295
DR1,0.139507232
LOC729603,0.139482697
AP3S1,0.138796778
GDAP1,0.138670898
CCDC120,0.138578381
AK5,0.138525123
HIST1H1A,0.138405846
DOK4,0.138405306
CRMP1,0.138326493
CHMP1A,0.138224082
GRP,0.137793859
CLUL1,0.137778812
GPR132,0.137760222
EPHA5,0.137572684
BCAP29,0.137467154
MALL,0.137466934
FGD1,0.137434901
DYRK3,0.137417614
LRFN5,0.137349362
GPR135,0.137320056
ATOH7,0.137284787
FAM105A,0.137120469
MEST,0.137069385
CAMLG,0.136985607
DNAJC6,0.136854913
IQCJ,0.13684768
LRRC57,0.136684656
GMIP,0.136560812
CPNE6,0.136400046
KCNB2,0.136045732
FAM171A2,0.135942861
CCDC103,0.135868498
GABRA5,0.135753354
CHGB,0.135653878
KCNG1,0.135607122
HINT3,0.135491576
