risk gene,clearance gene,~,correlation,bgs correlation,cobre correlation,hcpep correlation,stages correlation,bgs t
risk_score10,lyso_score10,0,0.509996955175716,0.488391344502061,0.531602565849371,0.349640609470468,-0.299272333825694,1727
risk_score21,ubq_score28,0,0.503114522743382,0.493879866568352,0.512349178918412,0.166325423244237,-0.257266141366758,2802
risk_score29,lyso_score38,0,0.499978224419787,0.518534656167725,0.481421792671849,0.571901560070807,-0.216218596453566,3334
risk_score2,lyso_score29,0,0.498497194655867,0.493792747170474,0.50320164214126,0.377608373148519,-0.12697722492255,746
risk_score17,ubq_score28,0,0.497538881279213,0.46513046526873,0.529947297289696,0.118666959905003,-0.027365029942128,1024
risk_score23,lyso_score10,0,0.496101411214232,0.48028924049944,0.511913581929024,0.358091927466639,-0.337618235655427,2733
risk_score32,ubq_score28,0,0.4950559784397,0.475933270605558,0.514178686273843,0.157351343310158,-0.135169303949811,978
risk_score37,ubq_score28,0,0.494620381450312,0.470444748539266,0.518796014361358,0.190111091419028,-0.270687207007165,1314
risk_score4,ubq_score28,0,0.493923426267291,0.479505165918541,0.508341686616041,0.05367022562517,-0.194518302009012,822
risk_score6,ubq_score28,0,0.493313590482148,0.477501419767355,0.50912576119694,0.063515575455762,-0.181445835476149,816
risk_score22,ubq_score28,0,0.492442396503371,0.493531388976842,0.491353404029901,0.100021784119635,-0.132031911981924,1183
risk_score23,ubq_score28,0,0.491048486137329,0.464956226472975,0.517140745801683,0.149684168220848,-0.162882932999482,1630
risk_score6,lyso_score29,0,0.490917807040512,0.434900034205189,0.546935579875836,0.249008936423273,-0.140921189224271,751
risk_score15,ubq_score28,0,0.489872374265981,0.471838658905309,0.507906089626653,0.084861687920318,-0.076866103213239,1222
risk_score16,ubq_score28,0,0.488565583297816,0.5061637016691,0.470967464926532,0.149422787251894,-0.401586171889574,2111
risk_score10,lyso_score40,0,0.488478463899938,0.398745484085967,0.57821144371391,0.302156400110536,-0.06492658377989,1326
risk_score19,lyso_score40,0,0.488391344502061,0.402665856990461,0.57411683201366,0.368895674183394,-0.15573665129485,1361
risk_score13,lyso_score40,0,0.488304225104183,0.41599512486574,0.560613325342626,0.21389675959382,-0.136912299487526,2411
risk_score5,lyso_score10,0,0.488173546007367,0.457202600061865,0.519144491952868,0.328555877974865,-0.289511558814489,2267
risk_score28,ubq_score28,0,0.488129986308428,0.477501419767355,0.4987585528495,0.156654327392948,-0.298226536503065,1397
risk_score13,lyso_score38,0,0.48695387443708,0.481683150865482,0.492224598008677,0.517447191538776,-0.229465362540201,3136
risk_score25,ubq_score28,0,0.486082680458303,0.481334673273972,0.490830687642635,0.13103899243548,-0.093860309705962,893
risk_score38,ubq_score28,0,0.485952001361487,0.462865360923912,0.509038641799062,0.151513835003524,-0.265981119055334,1057
risk_score4,lyso_score10,0,0.485559964071037,0.424619945255627,0.546499982886448,0.27174908072225,-0.264412423071391,4342
risk_score6,lyso_score10,0,0.484688770092261,0.414601214499698,0.554776325684824,0.300500987307162,-0.242014930411751,17702
risk_score39,ubq_score28,0,0.48325130002728,0.467308450215671,0.499194149838888,0.087039862661599,-0.135953651941783,1185
risk_score11,ubq_score28,0,0.482772143338953,0.476194628799191,0.489349657878715,0.210934441945677,-0.012985316755978,1254
risk_score28,lyso_score40,0,0.482423665747442,0.405192319528913,0.559655011965972,0.26059682604689,-0.158706656170311,1561
risk_score37,lyso_score10,0,0.482075188155932,0.456505644878844,0.50764473143302,0.342321942339763,-0.298226536503065,9149
risk_score28,lyso_score10,0,0.480681277789889,0.47994076290793,0.481421792671849,0.327161846140445,-0.396008586168885,6396
risk_score27,lyso_score38,0,0.480332800198379,0.471577300711676,0.489088299685082,0.54907428878218,-0.150071915797276,2581
risk_score16,lyso_score38,0,0.479766524112174,0.468615241183836,0.490917807040512,0.545327828227176,-0.196174147769842,7453
risk_score33,lyso_score10,0,0.479418046520664,0.455982928491578,0.502853164549749,0.298758447514137,-0.253518700960671,2304
risk_score34,ubq_score28,0,0.479026009230214,0.484645210393322,0.473406808067106,0.071444131514025,-0.037910152945305,1167
risk_score36,lyso_score40,0,0.478721091337643,0.413468662327289,0.543973520347996,0.263646270684683,0.144668629630359,1415
risk_score31,lyso_score10,0,0.478677531638704,0.442479421820543,0.514875641456864,0.331169687664402,-0.283149625101829,3142
risk_score8,ubq_score28,0,0.477762777960988,0.484819449189077,0.470706106732899,0.124504468211637,-0.290470206360232,1511
risk_score40,lyso_score10,0,0.4773271809716,0.444047570982341,0.510606790960859,0.33238946551952,-0.300143831594551,14930
risk_score28,lyso_score35,0,0.477109382476906,0.375397485454759,0.578821279499053,0.269396652001666,-0.031548219232645,882
risk_score2,lyso_score10,0,0.475541233315109,0.451539839199818,0.499542627430399,0.35678502262187,-0.284195422424458,1808
risk_score27,lyso_score10,0,0.47510563632572,0.460774495374848,0.489436777276592,0.356349387673614,-0.331517751273424,4441
risk_score13,lyso_score35,0,0.474713599035271,0.379579216552886,0.569847981517656,0.254672190750605,0.106758476685054,1055
risk_score30,ubq_score28,0,0.47436512144376,0.45885786862154,0.489872374265981,0.092354609030325,-0.101355190518137,819
risk_score10,lyso_score35,0,0.473755285658617,0.3635492473434,0.583961323973834,0.305467225717284,0.037300104507105,1063
risk_score20,ubq_score28,0,0.473711725959678,0.473232569271351,0.474190882648005,0.034937922850151,-0.064490834895461,1013
risk_score25,lyso_score10,0,0.473581046862862,0.442043824831155,0.505118268894568,0.282465700449354,-0.241230582419779,2428
risk_score19,ubq_score28,0,0.473232569271351,0.444744526165362,0.50172061237734,0.181659773422857,-0.183798879452064,1048
risk_score11,lyso_score40,0,0.472709852884085,0.40048787204352,0.54493183372465,0.303724685924259,-0.076691803659467,1281
risk_score35,ubq_score28,0,0.472361375292575,0.468615241183836,0.476107509401313,0.192463520139612,-0.317138038087274,1207
risk_score39,lyso_score10,0,0.471751539507431,0.431937974677349,0.511565104337513,0.340230894588132,-0.266504017716649,16405
risk_score2,ubq_score28,0,0.471098144023349,0.481160434478216,0.461035853568481,0.134785452990484,-0.196609896654271,1088
risk_score16,lyso_score10,0,0.470531867937144,0.43707801915213,0.503985716722159,0.306338495613796,-0.304152721331296,4438
risk_score29,lyso_score10,0,0.470488308238205,0.442827899412054,0.498148717064357,0.306251368624145,-0.328990407743737,3106
risk_score24,lyso_score10,0,0.47031406944245,0.447880824488957,0.492747314395943,0.310520591117056,-0.282103827779199,3103
risk_score14,lyso_score40,0,0.470139830646695,0.435335631194577,0.504944030098813,0.205096933639043,-0.131857612428152,3234
risk_score40,ubq_score28,0,0.469617114259429,0.476891583982212,0.462342644536646,0.062992813517854,-0.126018577376806,1163
risk_score33,ubq_score28,0,0.46957355456049,0.45554733150219,0.48359977761879,0.108124594157202,-0.231121208301031,1051
risk_score5,lyso_score38,0,0.469355756065796,0.462081286343013,0.476630225788579,0.521019398114477,-0.113730458835914,4803
risk_score7,ubq_score28,0,0.469137957571102,0.467831166602937,0.470444748539266,0.127641039839082,0.056124456314428,716
risk_score13,ubq_score28,0,0.468353882990203,0.471490181313798,0.465217584666608,0.071966893451933,-0.241927780634865,1362
risk_score5,ubq_score28,0,0.467613368108243,0.47401664385225,0.461210092364236,0.106469181353828,-0.086975477331987,1190
risk_score37,lyso_score40,0,0.467308450215671,0.396741737934781,0.537875162496561,0.362012642000945,-0.09081006751496,1435
risk_score14,lyso_score10,0,0.464259271289954,0.428714556955876,0.499803985624032,0.295011986959134,-0.290208757029575,5759
risk_score34,lyso_score10,0,0.464128592193138,0.4204382141575,0.507818970228775,0.384142897372363,-0.197132795315585,1790
risk_score24,ubq_score28,0,0.464128592193138,0.474626479637393,0.453630704748882,0.063602702445413,-0.142751334538872,889
risk_score22,lyso_score10,0,0.463910793698443,0.435074273000944,0.492747314395943,0.299891098379604,-0.29709358940355,2133
risk_score23,lyso_score38,0,0.463344517612239,0.456767003072477,0.469922032152001,0.545676336185781,-0.129155969344694,2609
risk_score36,ubq_score28,0,0.463170278816483,0.480027882305807,0.44631267532716,0.105772165436618,-0.063445037572832,1152
risk_score38,lyso_score10,0,0.462211965439829,0.423051796093829,0.501372134785829,0.360792864145828,-0.260839282219074,5139
risk_score3,ubq_score28,0,0.461122972966359,0.4633009579133,0.458944988019418,0.087562624599507,-0.134384955957839,1259
risk_score28,lyso_score38,0,0.460992293869542,0.447880824488957,0.474103763250127,0.558919638612771,-0.264586722625162,2632
risk_score16,lyso_score35,0,0.460774495374848,0.372261187131164,0.549287803618532,0.326639084202537,0.030240972579358,1324
risk_score13,lyso_score10,0,0.459337025309867,0.43559698938821,0.483077061231525,0.303898939903561,-0.315133593218902,7513
risk_score37,lyso_score37,0,0.458814308922601,0.489262538480837,0.428366079364365,0.213286870666261,-0.183086934597694,1879
risk_score11,lyso_score35,0,0.45811735373958,0.337500547377985,0.578734160101176,0.298845574503789,0.162795783222596,572
risk_score26,lyso_score10,0,0.457943114943825,0.403972647958626,0.511913581929024,0.29335657415576,-0.275829043843425,2294
risk_score19,lyso_score10,0,0.45776887614807,0.432722049258248,0.482815703037892,0.299106955472742,-0.290470206360232,2895
risk_score1,lyso_score40,0,0.457551077653375,0.361893978783725,0.553208176523026,0.217120458210916,-0.107107075792597,1099
risk_score37,lyso_score35,0,0.457507517954437,0.340201248712192,0.574813787196682,0.318797655133925,-0.038520201383505,662
risk_score24,lyso_score38,0,0.457420398556559,0.429411512138897,0.485429284974221,0.502548476308412,-0.135866502164897,2465
risk_score26,ubq_score28,0,0.456767003072477,0.453717824146759,0.459816181998194,0.108124594157202,-0.130288916444209,946
risk_score29,ubq_score28,0,0.45628784638415,0.456070047889456,0.456505644878844,0.08573295781683,-0.15286070865762,1164
risk_score30,lyso_score10,0,0.455329533007496,0.404756722539524,0.505902343475467,0.297625796648671,-0.249248361893269,2751
risk_score21,lyso_score10,0,0.454196980835086,0.424707064653504,0.483686897016668,0.318623401154622,-0.25107850720787,18413
risk_score29,ubq_score29,0,0.454196980835086,0.516182432425029,0.392211529245144,0.352690054108261,-0.270687207007165,922
risk_score29,lyso_score40,0,0.453979182340392,0.401359066022296,0.506599298658488,0.211021568935328,-0.164800228090969,2004
risk_score35,lyso_score10,0,0.453456465953126,0.428278959966488,0.478633971939765,0.331343941643705,-0.339361231193143,2125
risk_score10,ubq_score28,0,0.453238667458432,0.45885786862154,0.447619466295324,0.116924420111978,-0.04026319692122,926
risk_score20,lyso_score10,0,0.452062555587084,0.399703797462621,0.504421313711547,0.295796129865995,-0.217090094222424,9569
risk_score14,ubq_score28,0,0.452018995888145,0.459903301396072,0.444134690380219,0.062992813517854,-0.276526242058511,1152
risk_score16,lyso_score40,0,0.451714077995573,0.38794267874914,0.515485477242007,0.32541930634742,-0.171510760911172,2378
risk_score1,ubq_score28,0,0.450320167629531,0.44369909339083,0.456941241868232,0.06412546438332,-0.10684562646194,989
risk_score6,lyso_score38,0,0.449666772145449,0.449187615457122,0.450145928833776,0.466216521623841,-0.139875391901642,3881
risk_score8,lyso_score38,0,0.44962321244651,0.439952959282092,0.459293465610928,0.508908746552953,-0.183133588823042,4466
risk_score18,ubq_score28,0,0.449361854252877,0.461732808751502,0.436990899754252,0.099499022181728,-0.076604653882582,1067
risk_score27,ubq_score28,0,0.449231175156061,0.458160913438519,0.440301436873602,0.074319322172517,-0.223713477265741,1102
risk_score37,lyso_score38,0,0.448752018467734,0.447096749908058,0.450407287027409,0.493661523363984,-0.167937620058856,8978
risk_score15,lyso_score10,0,0.447924384187896,0.400923469032908,0.494925299342884,0.296580272772856,-0.282103827779199,18131
risk_score8,lyso_score10,0,0.447663025994263,0.453107988361616,0.442218063626911,0.332650846488474,-0.351997948841578,16981
risk_score15,lyso_score38,0,0.447314548402753,0.414426975703943,0.480202121101562,0.439381408811255,-0.143012783869529,852
risk_score32,lyso_score29,0,0.447270988703814,0.334974084839533,0.559567892568094,0.288913097683546,-0.09595190435122,1051
risk_score30,lyso_score38,0,0.44705319020912,0.430892541902817,0.463213838515422,0.464909616779072,-0.196086997992956,1524
risk_score32,lyso_score10,0,0.446181996230343,0.402665856990461,0.489698135470225,0.261642349922705,-0.30057958047898,12870
risk_score19,lyso_score37,0,0.445789958939894,0.504247074915792,0.387332842963996,0.187497281729491,-0.194256852678355,1340
risk_score8,lyso_score40,0,0.445702839542016,0.36651130687124,0.524894372212793,0.403136581116335,-0.177349795962518,1859
risk_score29,lyso_score35,0,0.445615720144139,0.33436424905439,0.556867191233887,0.227052935031158,0.216218596453566,1257
risk_score10,lyso_score37,0,0.445528600746261,0.478982449531275,0.412074751961246,0.121542150563494,-0.267375515485506,1597
risk_score36,lyso_score10,0,0.445267242552628,0.421048049942644,0.469486435162612,0.244478332961408,-0.278356387373112,1979
risk_score31,ubq_score28,0,0.444875205262179,0.455024615114924,0.434725795409433,0.050359400018423,-0.034424161869875,1001
risk_score19,lyso_score38,0,0.444004011283402,0.430369825515551,0.457638197051253,0.54280114552729,-0.214737050246508,2058
risk_score1,lyso_score38,0,0.442740780014176,0.442305183024788,0.443176377003565,0.509692889459814,-0.180922936814834,1587
risk_score36,lyso_score12,0,0.442653660616299,0.352572203210817,0.532735118021781,0.134349818042228,-0.263018026641218,526
risk_score28,ubq_score34,0,0.44261010091736,0.43855904891605,0.44666115291867,0.33448051327115,-0.0856682306787,1772
risk_score18,lyso_score10,0,0.442435862121605,0.419654139576601,0.465217584666608,0.266695715322477,-0.294130496989434,6093
risk_score4,lyso_score38,0,0.44112907115344,0.441085511454501,0.441172630852379,0.46482248978942,-0.165497426306055,4342
risk_score11,lyso_score10,0,0.440519235368297,0.41564664727423,0.465391823462363,0.305815733675889,-0.282626726440514,16898
risk_score10,lyso_score38,0,0.44038855627148,0.408415737250385,0.472361375292575,0.453321727155455,-0.115037705489201,950
risk_score2,lyso_score38,0,0.439735160787398,0.440998392056624,0.438471929518172,0.512829461087259,-0.106409877577511,3593
risk_score21,lyso_score29,0,0.438994645905438,0.341420920282479,0.536568371528397,0.343106085246624,-0.208898015195162,1118
risk_score23,lyso_score40,0,0.438733287711805,0.385503335608566,0.491963239815044,0.383445881455153,0.012462418094663,2264
risk_score33,lyso_score38,0,0.438341250421355,0.417650393425415,0.459032107417295,0.501590079422248,-0.003398841298545,620
risk_score26,lyso_score38,0,0.438297690722417,0.412510348950635,0.464085032494199,0.456893933731157,-0.128633070683379,571
risk_score20,lyso_score38,0,0.437600735539395,0.416692080048761,0.45850939103003,0.472315410899428,-0.122794035632033,2718
risk_score4,lyso_score29,0,0.435509869990332,0.333057458086225,0.537962281894439,0.243694190054547,-0.202884680590045,1324
risk_score14,lyso_score35,0,0.435379190893516,0.331315070128672,0.539443311658359,0.2403833644478,0.059436147836087,1411
risk_score36,lyso_score35,0,0.43520495209776,0.319641070813068,0.550768833382452,0.196384234673918,0.28558981885463,650
risk_score19,lyso_score12,0,0.43520495209776,0.345254173789095,0.525155730406426,0.114484864401743,-0.248115414793754,524
