risk gene,clearance gene,~,correlation,bgs correlation,cobre correlation,hcpep correlation,stages correlation,bgs t
risk_score1,TMEM129,0,0.158557304137308,0.0489611016072348,0.268153506667382,-0.0209976045059513,0.418580378382297,586
risk_score2,TMEM129,0,0.284139916177929,0.194276257267142,0.374003575088717,0.0875626245995066,0.46372396280912,501
risk_score3,TMEM129,0,0.19100927984673,0.0683887273339489,0.313629832359511,0.0637769564247152,0.435138835990591,1351
risk_score4,TMEM129,0,0.228209262740483,0.108463650357664,0.347954875123302,0.079721195530894,0.436271783090106,574
risk_score5,TMEM129,0,0.240405978443353,0.131288932601606,0.349523024285099,0.0939228948440479,0.436881831528306,503
risk_score6,TMEM129,0,0.25308185083455,0.132857081763404,0.373306619905696,0.111174038794995,0.47871372443347,523
risk_score7,TMEM129,0,0.15441913273812,0.0218669688672881,0.286971296608953,-0.00906120692373003,0.504074309507226,732
risk_score8,TMEM129,0,0.258047656513575,0.15184911050073,0.364246202526421,0.13522108793874,0.205673473450389,696
risk_score9,TMEM129,0,0.172235049604098,0.0498322955860112,0.294637803622185,0.0192550647129263,0.472090341390152,1143
risk_score10,TMEM129,0,0.228862658224565,0.124667858362906,0.333057458086225,0.0821607512411291,0.319229632732532,553
risk_score11,TMEM129,0,0.210436905573444,0.0877292336627854,0.333144577484103,0.0589849719938965,0.389995251563768,501
risk_score12,TMEM129,0,0.198675786859962,0.0816308758113505,0.315720697908574,0.0590720989835477,0.487254402568274,579
risk_score13,TMEM129,0,0.238271553195351,0.139739514195738,0.336803592194964,0.0947070377509091,0.33735678632477,501
risk_score14,TMEM129,0,0.201986323979313,0.0921723229545452,0.311800325004081,0.0554998924078465,0.387816507141624,605
risk_score15,TMEM129,0,0.179073922337493,0.0527072357159734,0.305440608959013,0.0317142242330551,0.449867148284284,565
risk_score16,TMEM129,0,0.207518405744543,0.101581217925331,0.313455593563756,0.0717926394726303,0.324110020238135,501
risk_score17,TMEM129,0,0.199764779333433,0.0837217413604139,0.315807817306452,0.0573295591905227,0.465379808569949,506
risk_score18,TMEM129,0,0.219410203554841,0.112993859047302,0.325826548062381,0.100108911109287,0.365419014481984,553
risk_score19,TMEM129,0,0.191444876836118,0.077623383508979,0.305266370163257,0.062992813517854,0.379711577891249,586
risk_score20,TMEM129,0,0.199154943548289,0.0783203386920001,0.319989548404579,0.0432149868670202,0.34249862316103,518
risk_score21,TMEM129,0,0.196236443719388,0.0950472630845074,0.29742562435427,0.0983663713162616,0.388949454241139,516
risk_score22,TMEM129,0,0.18695822784542,0.0673432945594172,0.306573161131422,0.0521890668010989,0.351387900403377,525
risk_score23,TMEM129,0,0.268414864861015,0.15960273691184,0.37722699281019,0.147331739500264,0.425813809863815,581
risk_score24,TMEM129,0,0.211351659251159,0.103323605882883,0.319379712619435,0.0601176228593627,0.397577282152829,506
risk_score25,TMEM129,0,0.225160083814766,0.104717516248926,0.345602651380606,0.0812894813446165,0.374831190385646,545
risk_score26,TMEM129,0,0.203641592538988,0.0900814574054818,0.317201727672494,0.0365933356535251,0.307377263076069,586
risk_score27,TMEM129,0,0.255695432770879,0.144792439272641,0.366598426269117,0.141668485172933,0.407338057164034,501
risk_score28,TMEM129,0,0.216317464930185,0.117611187134817,0.315023742725553,0.105075149519408,0.243932225503237,503
risk_score29,TMEM129,0,0.215272032155653,0.119092216898737,0.31145184741257,0.073796560234609,0.364024618051812,657
risk_score30,TMEM129,0,0.216709502220634,0.0953086212781403,0.338110383163128,0.0775430207896128,0.350429252857634,509
risk_score31,TMEM129,0,0.175676265820265,0.0535784296947498,0.29777410194578,0.0253539539885138,0.29543774364272,559
risk_score32,TMEM129,0,0.222633621276314,0.100710023946554,0.344557218606074,0.0747549571207728,0.458059227311545,526
risk_score33,TMEM129,0,0.217362897704717,0.0962669346547944,0.338458860754639,0.0719668934519328,0.368469256672986,606
risk_score34,TMEM129,0,0.220107158737862,0.110728754702483,0.329485562773242,0.0839904180238053,0.494836433157335,501
risk_score35,TMEM129,0,0.230605046182118,0.121095963049922,0.340114129314314,0.0906991962269516,0.299882382263894,640
risk_score36,TMEM129,0,0.224942285320072,0.117959664726327,0.331924905913816,0.0908734502062541,0.485249957699902,664
risk_score37,TMEM129,0,0.220804113920884,0.109857560723706,0.331750667118061,0.0742321951828653,0.381018824544535,527
risk_score38,TMEM129,0,0.228209262740483,0.122925470405353,0.333493055075613,0.0966238315232366,0.385463463165709,529
risk_score39,TMEM129,0,0.206777890862583,0.0851156517264562,0.32844012999871,0.0631670674971565,0.363937468274926,501
risk_score40,TMEM129,0,0.229036897020321,0.11525896339212,0.342814830648521,0.0945327837716066,0.432088593799589,724
risk_score1,ZNRF4,0,-0.0418173109812681,-0.145750752649295,0.0621161306867587,-0.00479198443081877,0.208462266310734,15652
risk_score2,ZNRF4,0,0.00331053711935039,-0.0695212795063583,0.0761423537450591,-0.0149858422200151,0.189202165618981,501
risk_score3,ZNRF4,0,-0.0264842969548032,-0.122141395824454,0.0691728019148477,-0.0358963197363151,0.226153671018543,19458
risk_score4,ZNRF4,0,-0.0342379233659133,-0.116043037973019,0.0475671912411925,-0.0422565899808564,0.20750361876499,523
risk_score5,ZNRF4,0,-0.0106721262400111,-0.0964411734505496,0.0750969209705274,-0.0276192557194463,0.205934922781047,501
risk_score6,ZNRF4,0,-0.0291414385900712,-0.115520321585753,0.0572374444056108,-0.0458287965565577,0.257876189804959,501
risk_score7,ZNRF4,0,-0.0552772579533638,-0.125539052341682,0.0149845364349544,-0.0627314325489002,0.246285269479153,519
risk_score8,ZNRF4,0,-0.00997517105699,-0.0663849811827632,0.0464346390687832,-0.0203005885887413,0.203581878805131,501
risk_score9,ZNRF4,0,-0.0583264368790813,-0.159080020524574,0.0424271467664116,-0.0367675896328276,0.246982467694239,18931
risk_score10,ZNRF4,0,0.00714379062596664,-0.0859868457052326,0.100274426957166,-0.0343280339225926,0.211163909394192,9274
risk_score11,ZNRF4,0,-0.0230430807386363,-0.138868320216961,0.0927821587396887,-0.00714441315140253,0.214649900469623,18783
risk_score12,ZNRF4,0,-0.0364594680117932,-0.122489873415965,0.0495709373923783,-0.00975822284094004,0.21778729243751,501
risk_score13,ZNRF4,0,-0.00344121621616686,-0.0984449196017354,0.0915624871694017,-0.0341537799432901,0.188853566511438,11675
risk_score14,ZNRF4,0,-0.0687372049254595,-0.148190095789869,0.01071568593895,-0.0908734502062541,0.18737202030438,18937
risk_score15,ZNRF4,0,-0.0437339377345763,-0.13372827574218,0.0462604002730279,-0.0489653681840027,0.204801975681532,504
risk_score16,ZNRF4,0,-0.024088513513168,-0.107679575776765,0.0595025487504294,-0.0441733837531839,0.195128350447213,520
risk_score17,ZNRF4,0,-0.0554950564480579,-0.164742781386621,0.0537526684905051,-0.0210847314956026,0.219355988421453,19405
risk_score18,ZNRF4,0,-0.0259615805675373,-0.100535785150799,0.0486126240157242,-0.0533217176665652,0.196261297546728,508
risk_score19,ZNRF4,0,-0.0104978874442559,-0.13634185767851,0.115346082789998,0.0437377488049277,0.190770861602925,18822
