risk gene,clearance gene,correlation,t
PVALB,AANAT,0,0
PVALB,AASS,0,0
PVALB,ABCA1,0,0
PVALB,ABCA11P,0,0
PVALB,ABCB6,0,0
PVALB,ABCD3,0,0
PVALB,ABCG8,0,0
PVALB,ABHD11,0,0
PVALB,ABHD2,0,0
PVALB,ABHD4,0,0
PVALB,ABI1,0,0
PVALB,ABI3,0,0
PVALB,ABLIM3,0,0
PVALB,ACADSB,0,0
PVALB,ACAP3,0,0
PVALB,ACBD4,0,0
PVALB,ACCS,0,0
PVALB,ACOT11,0,0
PVALB,ACOT8,0,0
PVALB,ACOX1,0,0
PVALB,ACP2,0,0
PVALB,ACP5,0,0
PVALB,ACP6,0,0
PVALB,ACPP,0,0
PVALB,ACSBG1,0,0
PVALB,ACSL4,0,0
PVALB,ACSS3,0,0
PVALB,ACTA1,0,0
PVALB,ACTG1P4,0,0
PVALB,ACTR1A,0,0
PVALB,ACTR3,0,0
PVALB,ACTR3B,0,0
PVALB,ACTR8,0,0
PVALB,ACVR2A,0,0
PVALB,ADAD2,0,0
PVALB,ADAM28,0,0
PVALB,ADAMTSL1,0,0
PVALB,ADAP2,0,0
PVALB,ADCY8,0,0
PVALB,ADCYAP1R1,0,0
PVALB,ADH5,0,0
PVALB,ADI1,0,0
PVALB,ADK,0,0
PVALB,ADRB2,0,0
PVALB,AFF2,0,0
PVALB,AFF3,0,0
PVALB,AGA,0,0
PVALB,AGAP2,0,0
PVALB,AGAP3,0,0
PVALB,AGBL2,0,0
PVALB,AGFG2,0,0
PVALB,AGPAT1,0,0
PVALB,AGPAT5,0,0
PVALB,AGT,0,0
PVALB,AHCY,0,0
PVALB,AHCYL1,0,0
PVALB,AHNAK,0,0
PVALB,AIFM2,0,0
PVALB,AJAP1,0,0
PVALB,AK3,0,0
PVALB,AK5,0,0
PVALB,AKAP13,0,0
PVALB,AKAP5,0,0
PVALB,AKIRIN1,0,0
PVALB,AKIRIN2,0,0
PVALB,AKR1C1,0,0
PVALB,AKR1C4,0,0
PVALB,ALCAM,0,0
PVALB,ALDH5A1,0,0
PVALB,ALDH7A1,0,0
PVALB,ALDH9A1,0,0
PVALB,ALG8,0,0
PVALB,ALMS1,0,0
PVALB,ALOX5AP,0,0
PVALB,ALPK1,0,0
PVALB,ALPP,0,0
PVALB,ALPPL2,0,0
PVALB,ALS2CR12,0,0
PVALB,AMDHD2,0,0
PVALB,AMOT,0,0
PVALB,AMZ1,0,0
PVALB,ANAPC13,0,0
PVALB,ANGPT1,0,0
