,clearance gene
GNLY,11895
IFITM1,8127
CTSK,6866
GCC2,5760
CLVS2,4780
AP1M1,3441
TMEM199,3363
PLA2G5,3304
GPR155,3139
NEU4,2161
PDE1C,1996
VPS13C,1957
CTSB,1879
ATP6V1A,1541
CLN5,1506
NKG7,1465
GALNS,1189
SORL1,1183
PRDX5,1043
SLC2A6,856
TMEM59,838
SPAG9,747
DRAM2,688
GCA,676
HPS4,509
KLC2,354
MITF,354
TM6SF1,266
LMBRD1,264
FLCN,234
PIK3C3,232
HSD17B1,231
HGS,220
GUSB,215
HPS6,205
SPHK2,174
RNF13,156
GLB1,146
PXK,143
TRAPPC1,134
CLTA,95
STX3,94
TMEM25,92
GDI2,91
TIAL1,89
BACE1,80
MCOLN1,34
ATP6V1G1,29
GPC6,26
SEC13,20
AP4M1,18
PIKFYVE,17
PRSS16,15
CTSA,13
NSF,10
USP6,10
SLC11A2,10
ABCC10,9
ATP6V0A1,6
PSAP,6
VPS36,5
ANXA6,5
SRGN,4
HYAL3,3
AP1B1,3
GPR137,3
WDR24,2
SLC36A1,2
SNX6,1
CPPED1,1
REEP4,1
