risk gene,clearance gene,correlation,t
,,0,0
coeff2,coeff1,0,0
coeff6,coeff1,0,0
coeff9,coeff1,0,0
coeff10,coeff1,0,0
coeff12,coeff1,0,0
coeff14,coeff1,0,0
coeff15,coeff1,0,0
coeff16,coeff1,0,0
coeff18,coeff1,0,0
coeff20,coeff1,0,0
coeff21,coeff1,0,0
coeff22,coeff1,0,0
coeff23,coeff1,0,0
coeff24,coeff1,0,0
coeff25,coeff1,0,0
coeff26,coeff1,0,0
coeff30,coeff1,0,0
coeff32,coeff1,0,0
coeff34,coeff1,0,0
coeff36,coeff1,0,0
coeff37,coeff1,0,0
coeff40,coeff1,0,0
,,0,0
coeff1,coeff3,0,0
coeff2,coeff3,0,0
,,0,0
coeff4,coeff3,0,0
coeff5,coeff3,0,0
coeff6,coeff3,0,0
coeff8,coeff3,0,0
coeff9,coeff3,0,0
coeff10,coeff3,0,0
coeff11,coeff3,0,0
coeff12,coeff3,0,0
coeff13,coeff3,0,0
coeff14,coeff3,0,0
coeff15,coeff3,0,0
coeff16,coeff3,0,0
coeff17,coeff3,0,0
coeff18,coeff3,0,0
coeff19,coeff3,0,0
coeff20,coeff3,0,0
coeff21,coeff3,0,0
coeff22,coeff3,0,0
coeff23,coeff3,0,0
coeff24,coeff3,0,0
coeff25,coeff3,0,0
coeff26,coeff3,0,0
coeff27,coeff3,0,0
coeff28,coeff3,0,0
coeff29,coeff3,0,0
coeff30,coeff3,0,0
coeff31,coeff3,0,0
coeff32,coeff3,0,0
coeff33,coeff3,0,0
coeff34,coeff3,0,0
coeff35,coeff3,0,0
coeff36,coeff3,0,0
coeff37,coeff3,0,0
coeff38,coeff3,0,0
coeff39,coeff3,0,0
coeff40,coeff3,0,0
coeff41,coeff3,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
coeff2,coeff17,0,0
coeff10,coeff17,0,0
coeff15,coeff17,0,0
coeff16,coeff17,0,0
,,0,0
