,risk gene,clearance gene,correlation,t
4594975,SBNO2,IFITM1,0.796516009380152,376
16004909,GABARAPL2,RNF216,0.796516160354133,539
12674308,SNRPE,SMAD6,0.796516181590001,352
12674309,LONRF2,SMAD6,0.796516410713775,302
2630601,LRRIQ1,PLA2G5,0.796516415495032,411
12830266,NOP56,UBXN7,0.796516660203898,394
12908468,ZCCHC3,MED7,0.796516746971929,311
12830267,GMEB1,UBXN7,0.796516811343334,393
2630602,CEBPG,PLA2G5,0.796517329993619,432
17071658,GTDC1,KEAP1,0.79651739053609,354
12674310,GABRG3,SMAD6,0.796517474051198,357
2630603,CLCN1,PLA2G5,0.796517614938382,427
4594976,SEZ6L2,IFITM1,0.7965181439934,455
17071659,RNF151,KEAP1,0.796518610449308,336
4594977,PSMD11,IFITM1,0.796519234142055,420
2630604,MSL1,PLA2G5,0.796519390407692,418
12830268,RCSD1,UBXN7,0.796519479520676,326
12674311,ZNF502,SMAD6,0.796519550897927,350
12830269,SSTR1,UBXN7,0.796519590828978,377
12830270,GFOD2,UBXN7,0.796519699962333,398
12908469,INSIG1,MED7,0.796519787045946,307
16004910,CYB5D2,RNF216,0.796519825862602,525
12674312,USP1,SMAD6,0.796519926713003,387
12674313,RCCD1,SMAD6,0.796520564014165,411
4594978,TAC3,IFITM1,0.796520984677358,359
12830271,TOM1L1,UBXN7,0.796521130688254,382
2019107,SAAL1,NKG7,0.796521658258926,254
12908470,ZIC5,MED7,0.796521675515268,282
12830272,TNIP1,UBXN7,0.796521886174895,433
17071660,ANKRD36BP2,KEAP1,0.79652211907769,328
12830273,NPR3,UBXN7,0.796522255617145,320
2630605,TUBB,PLA2G5,0.796522955671014,358
12830274,MRPL45,UBXN7,0.796523447545414,322
12830275,ZNF304,UBXN7,0.796523532297283,405
2019108,LPL,NKG7,0.796523937700273,243
17071661,KDELC1,KEAP1,0.79652406738958,366
12830276,RUVBL2,UBXN7,0.796524260922816,420
12908471,GP9,MED7,0.796524603752926,303
4594979,C11orf68,IFITM1,0.796524625673004,439
12908472,ZBTB34,MED7,0.796524848135621,328
2019109,DGCR8,NKG7,0.796525459548666,256
4594980,VTA1,IFITM1,0.796525680620731,407
4594981,ARFGAP2,IFITM1,0.796525681680992,406
16004911,RCBTB2,RNF216,0.796525713010919,553
12830277,ZNF266,UBXN7,0.796526032333742,362
7626456,PITRM1,NEU4,0.796526102606324,255
4594982,SYCP2,IFITM1,0.796526630352619,548
12908473,IL11RA,MED7,0.796527105122982,342
12830278,WDR54,UBXN7,0.796527285103614,356
12830279,GRK4,UBXN7,0.796527391026109,406
16004912,LCMT1,RNF216,0.796527466502812,484
4594983,UGCG,IFITM1,0.796527478926991,454
2630606,RAB23,PLA2G5,0.79652768859822,398
12830280,MYO19,UBXN7,0.796528116770678,336
2630607,MAPRE3,PLA2G5,0.796528529910442,421
12830281,RNF40,UBXN7,0.796528650796109,402
12908474,TIMP2,MED7,0.796529091322323,291
17071662,PPARG,KEAP1,0.796529218409969,313
12674314,EPRS,SMAD6,0.796529226763676,388
12830282,SSX2IP,UBXN7,0.796529427317289,354
17071663,ENPP2,KEAP1,0.796530046993137,328
2019110,ANKRD45,NKG7,0.796530072526063,247
4594984,SLBP,IFITM1,0.79653111968123,349
4594985,RFTN1,IFITM1,0.796531171302167,370
10943874,ANXA11,CKS2,0.796531341767449,386
12830283,VAPA,UBXN7,0.796531470339242,443
12830284,HDAC4,UBXN7,0.796531637666534,358
12830285,MCM6,UBXN7,0.796531670294377,310
12830286,LOC407835,UBXN7,0.796531673573582,440
12674315,C12orf76,SMAD6,0.796531676222533,353
17071664,HLA_J,KEAP1,0.796532016734847,321
12674316,IFITM1,SMAD6,0.796532198134952,474
12908475,EIF3D,MED7,0.796532329863945,301
17071665,TXN,KEAP1,0.796532437888863,306
12830287,COL23A1,UBXN7,0.796532551967005,383
2630608,THNSL1,PLA2G5,0.796532731107373,398
10943875,ZADH2,CKS2,0.796532931875281,452
12674317,C12orf49,SMAD6,0.796533208629926,426
12674318,HNRNPM,SMAD6,0.796533228185673,382
12830288,RUSC2,UBXN7,0.796533706830653,349
12830289,PLEKHO1,UBXN7,0.796533893615609,416
12830290,FMR1,UBXN7,0.796534028319903,407
952342,RNF141,DRAM2,0.796534093659007,464
12674319,MCM3AP_AS1,SMAD6,0.796534814602734,448
12830291,FIG4,UBXN7,0.796535099751779,301
12830292,COL21A1,UBXN7,0.796535148798716,371
4594986,MAFK,IFITM1,0.796535252945582,368
12830293,MAFK,UBXN7,0.796535499081115,302
4594987,FOXK1,IFITM1,0.796535594124957,385
17071666,FGD6,KEAP1,0.796536113044111,308
12830294,PTK2,UBXN7,0.796536417611971,387
16004913,COX18,RNF216,0.796536779901876,584
12830295,HNRNPA3P1,UBXN7,0.796537032987447,374
4594988,RIMS4,IFITM1,0.796537269200698,438
2630609,SH3BGRL2,PLA2G5,0.796537269919411,437
12830296,CCDC3,UBXN7,0.796538237328867,368
12830297,FOXJ2,UBXN7,0.796538415805345,317
17071667,RASGRF2,KEAP1,0.796538647632166,317
17071668,ISG15,KEAP1,0.796539222469722,281
7626457,B3GNT9,NEU4,0.796539269788953,299
2630610,EP400,PLA2G5,0.796539448013659,423
10943876,SH2B1,CKS2,0.796539978725089,415
12830298,KRAS,UBXN7,0.7965400425522,342
10943877,UBE3A,CKS2,0.796540240014335,423
12830299,ORM1,UBXN7,0.796540252109022,341
10943878,P4HTM,CKS2,0.796540612174779,404
16004914,SULF1,RNF216,0.796540963769979,534
12908476,SYAP1,MED7,0.796541435421339,347
10943879,EZH1,CKS2,0.79654168532595,426
12830300,KRTCAP3,UBXN7,0.796541787559888,364
4594989,CHRNA7,IFITM1,0.796541831006776,388
10943880,LOC554206,CKS2,0.796542209234787,406
12830301,CCDC28B,UBXN7,0.79654244315529,420
17071669,RAB30,KEAP1,0.796542576969021,256
4594990,RBBP6,IFITM1,0.796543182805616,387
4594991,ZNF500,IFITM1,0.79654344742344,404
2630611,ZNF699,PLA2G5,0.79654349735618,433
12908477,DENND2C,MED7,0.79654370426766,290
12830302,TSPAN13,UBXN7,0.796544178949752,378
12830303,FLOT2,UBXN7,0.796544412778054,316
952343,NRN1L,DRAM2,0.796544867094877,362
12908478,FAM110B,MED7,0.796544924192396,305
952344,S100A6,DRAM2,0.796545070858928,330
12830304,OLFML2A,UBXN7,0.796545103210409,410
4594992,PDK2,IFITM1,0.796545773932158,384
12908479,KIF26B,MED7,0.796545846718209,300
2019111,NEUROG1,NKG7,0.796545852833323,241
12830305,HSPB3,UBXN7,0.796546755401957,324
12830306,BATF3,UBXN7,0.796546984393949,332
10774904,PLXNA4,DCUN1D4,0.796546989980938,294
2630612,BRD2,PLA2G5,0.796546999165761,438
2630613,KIAA1324,PLA2G5,0.796547045165125,398
4594993,NAALAD2,IFITM1,0.796547347775009,534
12674320,SSBP4,SMAD6,0.796547771448649,328
10943881,SLC6A16,CKS2,0.796547854770044,408
2019112,CASP4,NKG7,0.796548071352398,258
12674321,EXOSC4,SMAD6,0.796548713955897,332
16004915,CTR9,RNF216,0.796548836619968,482
2630614,ORAI2,PLA2G5,0.796548908538206,379
12908480,MCM3AP_AS1,MED7,0.796549016156581,314
2630615,STK40,PLA2G5,0.796549181312076,412
2630616,KRT222,PLA2G5,0.796549392978095,435
16004916,NOL7,RNF216,0.796549703509621,625
10943882,FBXO16,CKS2,0.796549778964422,414
4594994,KCNV1,IFITM1,0.796550016862567,398
7626458,ZNF562,NEU4,0.796550397277503,289
17071670,ZNF559,KEAP1,0.796550548475651,337
12830307,KRTAP10_11,UBXN7,0.796550581398059,435
12830308,MALAT1,UBXN7,0.796551156358978,341
2630617,EXOC1,PLA2G5,0.796551502751766,403
12830309,CCDC51,UBXN7,0.796551515728019,430
12830310,ARHGEF7,UBXN7,0.796551576037191,340
12830311,GNPNAT1,UBXN7,0.796551807246112,352
12830312,EMX2OS,UBXN7,0.796551860323195,406
12830313,FAM171B,UBXN7,0.796552295302828,354
12908481,NVL,MED7,0.796552525348866,319
12830314,ZBTB45,UBXN7,0.796552683122033,439
12830315,GPM6A,UBXN7,0.796552965781588,330
7626459,GLP2R,NEU4,0.796553141350631,232
4594995,ST8SIA1,IFITM1,0.796554055995173,551
12674322,ZRANB3,SMAD6,0.796554095459837,319
12830316,ZNF793,UBXN7,0.796554194758355,317
10943883,DHX30,CKS2,0.796554448654187,380
10943884,MLXIPL,CKS2,0.796554448932733,402
16004917,ELF1,RNF216,0.796554599088236,553
12830317,ADRM1,UBXN7,0.796554747331358,350
12830318,POU2F2,UBXN7,0.796554967075136,345
16004918,UFC1,RNF216,0.796555213874701,482
16004919,GARNL3,RNF216,0.796555443269434,494
12830319,ITIH4,UBXN7,0.796555851966449,363
16004920,ALG1L,RNF216,0.796555974436763,478
10943885,ZNF148,CKS2,0.796556056453309,427
12830320,DDX10,UBXN7,0.796556376574202,392
12908482,BTG3,MED7,0.796556580318578,265
2630618,ATP6V1D,PLA2G5,0.79655676628108,378
4594996,RFPL3,IFITM1,0.796557178001021,424
4594997,ZNF862,IFITM1,0.796557870856537,397
12830321,BRF2,UBXN7,0.796558266930568,343
952345,OLFML3,DRAM2,0.796558503598276,376
12674323,RBBP8,SMAD6,0.796558685118264,350
2630619,ANXA7,PLA2G5,0.796559037324272,435
12830322,CD2BP2,UBXN7,0.796559067482712,322
10943886,TUBA3C,CKS2,0.796559185833923,436
12674324,WDYHV1,SMAD6,0.796559304199147,394
16004921,HSCB,RNF216,0.79655967934922,561
12830323,WDR62,UBXN7,0.796559731905942,353
4594998,IL17RC,IFITM1,0.796560082768887,488
12830324,DNAJA3,UBXN7,0.796560430618249,324
2019113,GLYCTK,NKG7,0.796560434578785,247
17071671,DYNLL1,KEAP1,0.796560532782063,298
12830325,PCYOX1L,UBXN7,0.796561363191288,381
4594999,RAPGEF1,IFITM1,0.796562073624398,449
2019114,CTTN,NKG7,0.796562617313167,254
7860665,FBXO11,PRDX5,0.796562807453025,440
2630620,GPD2,PLA2G5,0.796563070791171,392
12830326,BRPF3,UBXN7,0.796563435437464,325
4595000,ARNT2,IFITM1,0.796563892695193,398
10943887,AHR,CKS2,0.796564110416626,396
2630621,CSDE1,PLA2G5,0.796565091595248,463
12830327,BAD,UBXN7,0.796565173289773,320
12830328,AP4B1,UBXN7,0.796565421614083,325
2630622,CCDC6,PLA2G5,0.796565643611835,362
12830329,STAT4,UBXN7,0.796566102949353,345
12830330,TK1,UBXN7,0.796566261478581,375
10943888,DBT,CKS2,0.796566390560473,403
10943889,PCSK2,CKS2,0.796566873502025,436
12830331,NR2F1,UBXN7,0.796567146999998,332
10943890,RAP2A,CKS2,0.796567475598921,409
12830332,FDX1L,UBXN7,0.796567487109638,375
12908483,REPIN1,MED7,0.796568474525766,340
12674325,AIFM3,SMAD6,0.796568605468662,361
3059975,NRN1L,MITF,0.796568662037848,304
2630623,GPC4,PLA2G5,0.796569026647783,366
2630624,RRAGB,PLA2G5,0.796570262365676,392
4595001,YIPF1,IFITM1,0.796570921047059,362
12830333,SLC12A6,UBXN7,0.796571123978663,384
10943891,MAP3K9,CKS2,0.796571315943128,428
12830334,GALNTL5,UBXN7,0.796571373481047,317
10943892,SYCE1,CKS2,0.796571849738116,396
2630625,ZCWPW2,PLA2G5,0.7965722219962,410
12830335,TRAF3,UBXN7,0.796572535128011,366
10943893,ERH,CKS2,0.796572976204777,399
7626460,RALB,NEU4,0.796573018538493,323
12908484,CNR1,MED7,0.796573063048075,275
12674326,WNT2B,SMAD6,0.796574516557245,312
12830336,ZNF540,UBXN7,0.796575098804351,339
12830337,PCGF6,UBXN7,0.796575117011849,376
12830338,RAD51AP2,UBXN7,0.796575159158516,339
12830339,SORBS2,UBXN7,0.796575380421936,329
12674327,RPL31,SMAD6,0.796575842534651,314
16004922,PPP2R3C,RNF216,0.796576409308041,534
4595002,SDF4,IFITM1,0.796576434046604,466
12674328,C1orf131,SMAD6,0.796576551577195,368
10943894,CLPTM1,CKS2,0.796576735083539,392
10943895,GCNT1,CKS2,0.79657683896732,402
10943896,KIAA1522,CKS2,0.796577028668365,360
4595003,RPUSD2,IFITM1,0.796577268654656,402
12830340,FOXRED1,UBXN7,0.796577648106269,336
12830341,PARP2,UBXN7,0.796577755117793,323
12830342,BCAR1,UBXN7,0.796577856351896,373
2630626,TMCC2,PLA2G5,0.796578206435277,517
12830343,AHSG,UBXN7,0.796578221508938,324
12830344,YPEL4,UBXN7,0.796578307789526,346
10943897,JAZF1,CKS2,0.79657870748702,409
12908485,ZNF225,MED7,0.796578958034609,326
952346,NEK11,DRAM2,0.79657921278476,371
12908486,PYGM,MED7,0.796579481297598,291
12674329,COG3,SMAD6,0.796579825354892,340
12830345,PAQR4,UBXN7,0.796580415104097,379
4595004,UBXN11,IFITM1,0.796581138673262,422
10943898,ATRNL1,CKS2,0.79658176420815,436
12830346,SDF4,UBXN7,0.796582043292069,373
12830347,PSMB7,UBXN7,0.796582499663768,411
12830348,SND1_IT1,UBXN7,0.796583843482886,385
12830349,ERH,UBXN7,0.796584033451673,330
12674330,TPD52L1,SMAD6,0.7965841393497,310
10943899,BATF3,CKS2,0.796584339305523,390
12674331,RASD2,SMAD6,0.796584361990116,370
